run_name,variant,seed,epoch,checkpoint_label,train_acc,val_acc,sum_delta_attn,sum_delta_mlp,final_rep_erank,layer0_delta_mlp,layer1_delta_mlp,layer2_delta_mlp,layer0_delta_attn,layer1_delta_attn,layer2_delta_attn
freeze_M0_seed2,freeze_M0,2,0,random_init,,,78.3517821138311,-12.143045422972747,67.2087366908584,-3.438255558204361,-4.671781827255899,-4.033008037512488,66.58741665696664,8.812433742903565,2.951931713960903
freeze_M0_seed2,freeze_M0,2,100,first_train_acc_ge_0.99,0.9947780678851175,0.006527415143603133,52.68831114273581,30.689434367959326,84.37774551069518,-1.9315977742503705,-8.119184671205392,40.74021681341509,33.41923156076477,1.5744269145677023,17.694652667403343
freeze_M0_seed2,freeze_M0,2,100,periodic_full,0.9947780678851175,0.006527415143603133,52.68831114273581,30.689434367959326,84.37774551069518,-1.9315977742503705,-8.119184671205392,40.74021681341509,33.41923156076477,1.5744269145677023,17.694652667403343
freeze_M0_seed2,freeze_M0,2,200,periodic_full,0.952023498694517,0.005221932114882507,44.35710214585116,36.26122490861509,81.61832705446629,0.9270755796921364,-7.08671558741149,42.420864916334445,23.991825083152644,1.385056193191975,18.980220869506535
freeze_M0_seed2,freeze_M0,2,300,periodic_full,0.9977154046997389,0.005221932114882507,39.35628259735627,38.83768123155659,79.1939638289129,2.8559713188515126,-5.884000665538469,41.865710578243544,18.999705040738736,0.36840574652535807,19.988171810092176
freeze_M0_seed2,freeze_M0,2,400,periodic_full,1.0,0.0026109660574412533,36.37005460344566,42.098124143215344,79.46817874666104,4.207461156335025,-4.73621214984572,42.626875136726035,16.584456559094388,-0.33963233185762576,20.125230376208897
freeze_M0_seed2,freeze_M0,2,500,periodic_full,0.9370104438642297,0.007832898172323759,34.4069761492168,44.450179692263276,79.85715584148012,5.402602590223321,-3.9383019089154274,42.98587901095538,15.43076861466764,-0.8435657518649364,19.819773286414097
freeze_M0_seed2,freeze_M0,2,600,periodic_full,1.0,0.006527415143603133,33.98219565399684,43.42121485699593,78.40341051099281,5.587180338706556,-4.054215250286038,41.88824976857541,15.004257890496763,-1.4861810741070478,20.464118837607128
freeze_M0_seed2,freeze_M0,2,700,periodic_full,1.0,0.009138381201044387,33.329463904817274,41.40832157017167,75.737785474989,5.863508933236929,-4.022840333670878,39.56765297060562,14.734256869191299,-2.0082425019223074,20.603449537548286
freeze_M0_seed2,freeze_M0,2,800,periodic_full,0.8932767624020888,0.005221932114882507,32.10646012274995,41.03380308518455,74.14026320793454,6.2532038016912725,-4.00706214430361,38.78766142779689,14.607799952993297,-2.1711400696000496,19.6698002393567
freeze_M0_seed2,freeze_M0,2,900,periodic_full,1.0,0.010443864229765013,32.644561015623424,41.95178749330574,75.5963485089292,6.196837499435599,-3.9416960448870917,39.69664603875723,14.583445183510172,-2.3285289724507656,20.389644804564014
freeze_M0_seed2,freeze_M0,2,1000,periodic_full,1.0,0.009138381201044387,32.68280059194639,41.62442732478228,75.3072279167287,6.176416510752789,-3.856623357284576,39.30463417131407,14.517396006717442,-2.4589634379831367,20.62436802321208
freeze_M0_seed2,freeze_M0,2,1100,periodic_full,1.0,0.009138381201044387,32.37612856062287,39.619081934906596,72.9952104955295,6.162149175565046,-3.755806499652108,37.21273925899366,14.456357696231022,-2.6936149872105375,20.61338585160238
freeze_M0_seed2,freeze_M0,2,1200,periodic_full,1.0,0.006527415143603133,32.29837092057121,39.77045830975519,73.06882923032644,6.213384268476489,-3.7284393531552613,37.28551339443396,14.490397383621767,-2.795833933801614,20.603807470751057
freeze_M0_seed2,freeze_M0,2,1300,periodic_full,0.7748041775456919,0.013054830287206266,32.52918240856375,42.457986729399686,75.98716913796348,6.7293511114669275,-3.5839254761605535,39.31256109409331,14.493873073316372,-2.984082181428022,21.019391516675398
freeze_M0_seed2,freeze_M0,2,1400,periodic_full,0.7281331592689295,0.01174934725848564,31.750226304693303,40.258351236822705,73.00857754151605,6.558287786433633,-3.4679665125797676,37.16802996296884,14.44549052393122,-3.0737374811677576,20.37847326192984
freeze_M0_seed2,freeze_M0,2,1500,periodic_full,0.97911227154047,0.014360313315926894,32.01857783831034,45.27036665154529,78.28894448985567,6.818748307925347,-3.406888476555988,41.858506820175926,14.50575762048164,-3.0586584224170252,20.571478640245726
freeze_M0_seed2,freeze_M0,2,1600,periodic_full,0.8599869451697127,0.010443864229765013,31.86948286918215,44.08609465848229,76.95557752766447,6.668316538799344,-3.3082962688093787,40.72607438849232,14.479211033106678,-3.054355142228218,20.444626978303692
freeze_M0_seed2,freeze_M0,2,1700,periodic_full,1.0,0.01174934725848564,31.734543300989625,38.070121716803314,70.80466501779298,5.876374484950327,-3.5510738899316774,35.74482112178466,14.37357002958862,-2.840111025003967,20.20108429640497
freeze_M0_seed2,freeze_M0,2,1800,periodic_full,1.0,0.013054830287206266,31.692977127577734,39.04982289777935,71.74280002535713,5.833146684657347,-3.513576180467595,36.7302523935896,14.341407331971476,-2.8278304222580175,20.179400217864274
freeze_M0_seed2,freeze_M0,2,1900,periodic_full,1.0,0.007832898172323759,31.804331440440635,39.02164617305239,71.82597761349307,5.78660686631088,-3.495659779821338,36.73069908656284,14.231422115487822,-2.788451417272011,20.36136074222482
freeze_M0_seed2,freeze_M0,2,2000,periodic_full,1.0,0.006527415143603133,31.725589454148512,40.355749100753975,73.08133855490253,5.786002916734526,-3.4022119990873723,37.97195818310682,14.088131387224292,-2.7964613386852335,20.43391940560945
freeze_M0_seed2,freeze_M0,2,2100,periodic_full,1.0,0.015665796344647518,31.803004836863924,40.95340456292964,73.75640939979361,5.5834510500667225,-3.3452557784836046,38.715209291346525,13.905798204137628,-2.5673988675405646,20.46460550026686
freeze_M0_seed2,freeze_M0,2,2200,periodic_full,1.0,0.010443864229765013,31.7861878923645,43.31658150506496,76.1027693974295,5.8766161002482775,-3.1160380432845045,40.55600344810119,13.808465533597644,-2.7209823454279025,20.698704704194757
freeze_M0_seed2,freeze_M0,2,2300,periodic_full,1.0,0.007832898172323759,31.5222746617974,42.12647180384998,74.64874646564742,5.71362985392547,-3.2194750153148295,39.63231696523934,13.741862456516408,-2.586760679470107,20.3671728847511
freeze_M0_seed2,freeze_M0,2,2400,periodic_full,1.0,0.01174934725848564,31.72281921824988,42.92040511045607,75.643224328706,5.805765091098651,-3.125230543719935,40.23987056307736,13.690993811170268,-2.6062356595916754,20.63806106667129
freeze_M0_seed2,freeze_M0,2,2500,periodic_full,1.0,0.01174934725848564,31.193626041660814,36.44838300787718,68.64200904953803,5.376938457529901,-3.0971870207872048,34.16863157113448,13.657739236843053,-2.620465046206494,20.156351851024255
freeze_M0_seed2,freeze_M0,2,2600,periodic_full,1.0,0.006527415143603133,31.53472720182814,39.06900878047606,71.60373598230424,5.473736590668798,-3.1583506053069748,36.75362279511424,13.672431229363244,-2.5334145599974853,20.39571053246238
freeze_M0_seed2,freeze_M0,2,2700,periodic_full,1.0,0.010443864229765013,31.50349069204659,39.58975069349807,72.0932413855447,5.385378868056453,-3.112627309650689,37.3169991350923,13.647894543553454,-2.470398964739303,20.325995113232437
freeze_M0_seed2,freeze_M0,2,2800,periodic_full,1.0,0.01174934725848564,31.195326149059724,38.75892858515253,70.9542547342123,5.217329508956208,-3.054202815456186,36.595801891652506,13.608118620712672,-2.4024022105491696,19.989609738896224
freeze_M0_seed2,freeze_M0,2,2900,periodic_full,1.0,0.009138381201044387,31.4007251458808,40.54229377393301,72.94301891981385,5.268505983886879,-3.01242679725706,38.28621458730319,13.656652432476347,-2.3745443354220335,20.118617048826486
freeze_M0_seed2,freeze_M0,2,3000,periodic_full,1.0,0.010443864229765013,30.70210712092765,35.20825747541314,66.91036459634083,5.02866401333959,-2.9368695004462655,33.11646296251982,13.631318853097316,-2.4649269334260957,19.53571520125643
freeze_M0_seed2,freeze_M0,2,3100,periodic_full,1.0,0.013054830287206266,31.237222436845247,37.10544454592118,69.34266698276646,5.086535081356594,-2.9699080989768376,34.988817563541424,13.640346071291173,-2.3894453966660514,19.986321762220125
freeze_M0_seed2,freeze_M0,2,3200,periodic_full,1.0,0.010443864229765013,31.16118802407361,37.67324015834704,69.8344281824207,5.1191948323501535,-3.0092243013903186,35.56326962738721,13.641051175432716,-2.3654201054618227,19.885556954102714
freeze_M0_seed2,freeze_M0,2,3300,periodic_full,1.0,0.020887728459530026,31.624091325898355,40.1704209542546,72.794512280153,5.278242716751551,-2.9457209701954206,37.83789920769847,13.67421191113311,-2.406647755412777,20.356527170178023
freeze_M0_seed2,freeze_M0,2,3400,periodic_full,0.7052872062663186,0.013054830287206266,31.210504814574378,38.80901114310065,71.01951595767507,5.691495164412416,-2.5798801485280887,35.69739612721632,13.647031963391752,-2.8041995097853842,20.367672360968008
freeze_M0_seed2,freeze_M0,2,3500,periodic_full,1.0,0.014360313315926894,30.9901030330119,35.78174892989047,67.7718519629024,5.088756982431573,-2.9480016690190443,33.64099361647794,13.646714183505123,-2.4754573421040575,19.81884619161083
freeze_M0_seed2,freeze_M0,2,3600,periodic_full,1.0,0.015665796344647518,31.19414173135771,38.0965772912225,70.29071902258025,5.275221555788656,-2.99901030253182,35.82036603796567,13.690923759219888,-2.4812826510903996,19.98450062322822
freeze_M0_seed2,freeze_M0,2,3700,periodic_full,1.0,0.018276762402088774,31.245864387478314,40.172728461631735,72.4185928491101,5.536628129720389,-2.9312991543883378,37.567399486299685,13.716048275383988,-2.6561330208958225,20.18594913299015
