run_name,variant,seed,epoch,checkpoint_label,train_acc,val_acc,sum_delta_attn,sum_delta_mlp,final_rep_erank,layer0_delta_attn,layer1_delta_attn,layer2_delta_attn,layer0_delta_mlp,layer1_delta_mlp,layer2_delta_mlp,strongest_negative_mlp_layer,strongest_negative_mlp_delta
normal_seed0,normal,0,0,random_init,,,79.51267363777991,-12.183317550989585,68.32935608679037,67.89824663138657,8.821190174909788,2.7932368314835543,-3.5018520150045305,-4.70143973050439,-3.9800258054806648,1,-4.70143973050439
normal_seed0,normal,0,75,first_train_acc_ge_0.99,1.0,0.006527415143603133,64.30796934842418,21.15801820618904,86.46598755461326,44.010164493794555,4.664077323401521,15.633727531228104,-16.06985751195633,1.914704568706135,35.313171149439235,0,-16.06985751195633
normal_seed0,normal,0,100,periodic_full,0.9957571801566579,0.005221932114882507,61.504997143551634,23.555496931284512,86.06049407483619,39.71703040565296,5.207470295037947,16.580496442860728,-14.397020694999974,1.1200055715179467,36.83251205476654,0,-14.397020694999974
normal_seed0,normal,0,200,periodic_full,0.9973890339425587,0.005221932114882507,52.61887105441588,29.75278302904839,83.3716540834643,27.508820416164045,5.37883739822745,19.731213240024378,-8.079252264706895,-1.9415865902563176,39.773621884011604,0,-8.079252264706895
normal_seed0,normal,0,300,periodic_full,0.9986945169712794,0.0039164490861618795,45.751255304253576,36.63145131908587,83.38270662333949,20.820158487297796,4.975720352440213,19.95537646451557,-3.748703858916702,-0.7411945747049771,41.12134975270755,0,-3.748703858916702
normal_seed0,normal,0,400,periodic_full,1.0,0.005221932114882507,42.85967747026749,37.25628331185785,81.11596078212538,17.80106410031246,4.2330003082133665,20.825613061741667,-1.7984377289862863,-2.029592420003958,41.084313460848094,1,-2.029592420003958
normal_seed0,normal,0,500,periodic_full,1.0,0.005221932114882507,41.22869287006354,39.028724557521656,81.25741742758522,16.40459541772286,3.43361126536249,21.390486186978187,-0.767346748890688,-1.651758413519655,41.447829719931995,1,-1.651758413519655
normal_seed0,normal,0,600,periodic_full,1.0,0.006527415143603133,39.93818508419948,40.256371010524,81.19455609472351,15.786123912166564,2.761583317621433,21.390477854411483,-0.3413799071910226,-1.232528761217754,41.830279678932776,1,-1.232528761217754
normal_seed0,normal,0,700,periodic_full,1.0,0.007832898172323759,39.72785079659435,35.4622064834593,76.19005728005368,15.342146165410863,2.248446402251263,22.137258228932225,-0.39033307079403734,-2.308806734257935,38.16134628851127,1,-2.308806734257935
normal_seed0,normal,0,800,periodic_full,1.0,0.01174934725848564,39.20947643158803,39.502502605662286,79.71197903725036,15.049515057660104,2.074085839851243,22.085875534076685,-0.13025079888842228,-1.5836631495806657,41.21641655413138,1,-1.5836631495806657
normal_seed0,normal,0,900,periodic_full,1.0,0.013054830287206266,39.01832885849876,40.3124035351658,80.3307323936646,14.76073356475498,1.8604490867750219,22.397146206968756,-0.044974920614651026,-1.5222609715297715,41.879639427310224,1,-1.5222609715297715
normal_seed0,normal,0,1000,periodic_full,1.0,0.014360313315926894,38.87182935034643,37.417811080040025,77.2896404303865,14.610926065188263,1.6255581422653744,22.635345142892795,-0.14479981382446283,-1.8499018492905517,39.41251274315504,1,-1.8499018492905517
