variant,n_seeds,mean_best_val_acc,std_best_val_acc,mean_test_acc_at_best_val,std_test_acc_at_best_val,mean_tau_0.90,std_tau_0.90,mean_tau_0.95,std_tau_0.95,fraction_grokked_0.90,fraction_grokked_0.95,mean_layer0_delta_mlp_best_val,std_layer0_delta_mlp_best_val,mean_layer1_delta_mlp_best_val,std_layer1_delta_mlp_best_val,mean_layer2_delta_mlp_best_val,std_layer2_delta_mlp_best_val
normal,3,1.0,0.0,0.9983592497296492,0.0015347813422274621,3058.3333333333335,832.9999333066534,3091.6666666666665,844.1794174752716,1.0,1.0,-0.9301798989126772,0.1704101169143165,-1.7022437415347673,0.23942256513848845,7.6531795882705405,1.3743413238997535
freeze_A0,3,1.0,0.0,0.9972778461423725,0.001877124652071911,3683.3333333333335,820.9073570683167,3716.6666666666665,832.2492949164264,1.0,1.0,-8.156259940122803,0.8847484583475587,-2.085429682130927,0.8455163847715595,7.217391084115525,1.819946099061512
freeze_M0,3,1.0,0.0,0.9975015848156019,0.0020634426419445526,3916.6666666666665,1274.3189902410186,3941.6666666666665,1274.3189902410186,1.0,1.0,1.5686950917292537,0.6674056963800848,-2.0150727008774045,0.9147917383782356,3.7376307374933675,2.001734015914614
freeze_A0_M0,3,1.0,0.0,0.997986351940933,0.0014267909512405545,5808.333333333333,886.5507443018828,5850.0,908.9829481348921,1.0,1.0,-1.335832562872015,0.12228772462578796,-2.9124076832215664,0.43021827750773933,8.239161218127945,1.774162342529702
