run_id,depth,schedule,epoch,step,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,best_val_acc_so_far,learning_rate,weight_decay,elapsed_time_seconds
depth4_bal_MAAAMMMA,4,MAAAMMMA,1,12,4.737258315086365,4.74536116917928,4.73724148614066,0.007832898172323759,0.009138381201044387,0.00839020024611254,0.009138381201044387,0.0003,1.0,0.7753467559814453
depth4_bal_MAAAMMMA,4,MAAAMMMA,25,300,4.122559467951457,5.696039199829102,5.678262342725481,0.08322454308093995,0.0,0.002684864078756013,0.009138381201044387,0.0003,1.0,6.264628887176514
depth4_bal_MAAAMMMA,4,MAAAMMMA,50,600,2.6994218826293945,7.970012029012044,8.030448014395578,0.3025456919060052,0.0026109660574412533,0.00548159749412686,0.009138381201044387,0.0003,1.0,9.582764148712158
depth4_bal_MAAAMMMA,4,MAAAMMMA,75,900,1.5620765686035156,10.383365948994955,10.469958087376186,0.5786553524804178,0.0039164490861618795,0.007495245553193869,0.009138381201044387,0.0003,1.0,16.696909427642822
depth4_bal_MAAAMMMA,4,MAAAMMMA,100,1200,0.936525821685791,12.274481137593588,12.45625136239188,0.7535900783289817,0.005221932114882507,0.009173285602416377,0.009138381201044387,0.0003,1.0,23.444352865219116
depth4_bal_MAAAMMMA,4,MAAAMMMA,125,1500,0.7105027039845785,13.163857777913412,13.200359616960798,0.8211488250652742,0.013054830287206266,0.01040384830517955,0.013054830287206266,0.0003,1.0,31.835209369659424
depth4_bal_MAAAMMMA,4,MAAAMMMA,150,1800,0.7201976031064987,13.891847928365072,13.965873609270368,0.8110313315926893,0.010443864229765013,0.01241749636424656,0.013054830287206266,0.0003,1.0,38.79710292816162
depth4_bal_MAAAMMMA,4,MAAAMMMA,175,2100,0.31494253873825073,14.695417086283365,14.716375296456473,0.9507180156657964,0.006527415143603133,0.011746280344557557,0.013054830287206266,0.0003,1.0,46.48990607261658
depth4_bal_MAAAMMMA,4,MAAAMMMA,200,2400,0.12299879329899947,14.573667208353678,14.441305269513812,0.9986945169712794,0.006527415143603133,0.01096319498825372,0.013054830287206266,0.0003,1.0,54.24123287200928
depth4_bal_MAAAMMMA,4,MAAAMMMA,225,2700,0.4477939009666443,12.890300432840982,12.823830468314034,0.9203655352480418,0.010443864229765013,0.01443114442331357,0.013054830287206266,0.0003,1.0,60.14739227294922
