layer,block_kind,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
0,A,1.000000000000039,4.8287232725380544,4.8287232725380544,3.8287232725380154,NA
1,A,4.8287232725380544,6.4071816292183925,6.4071816292183925,1.578458356680338,NA
2,M,6.4071816292183925,6.4071816292183925,7.595219131123154,NA,1.1880375019047618
3,M,7.595219131123154,7.595219131123154,10.253069396817127,NA,2.6578502656939724

sum_delta_attn,5.407181629218353
sum_delta_mlp,3.845887767598734
