epoch,layer_0_pre,layer_0_mid,layer_0_post,layer_0_delta_attn,layer_0_delta_mlp,layer_1_pre,layer_1_mid,layer_1_post,layer_1_delta_attn,layer_1_delta_mlp,layer_2_pre,layer_2_mid,layer_2_post,layer_2_delta_attn,layer_2_delta_mlp,layer_3_pre,layer_3_mid,layer_3_post,layer_3_delta_attn,layer_3_delta_mlp
1000,1.000000000000045,13.73543382925575,13.73543382925575,12.735433829255706,0.0,13.73543382925575,21.784219199270908,21.784219199270908,8.048785370015157,0.0,21.784219199270908,21.784219199270908,15.557310827149058,0.0,-6.22690837212185,15.557310827149058,15.557310827149058,61.29976822940176,0.0,45.7424574022527
2000,1.0000000000000417,11.98330925006494,11.98330925006494,10.983309250064899,0.0,11.98330925006494,20.12622511838339,20.12622511838339,8.142915868318449,0.0,20.12622511838339,20.12622511838339,15.579173078915828,0.0,-4.547052039467561,15.579173078915828,15.579173078915828,58.89493650609934,0.0,43.31576342718351
3000,1.0000000000000406,11.820358724301567,11.820358724301567,10.820358724301526,0.0,11.820358724301567,19.505713380641417,19.505713380641417,7.68535465633985,0.0,19.505713380641417,19.505713380641417,15.910142615224858,0.0,-3.595570765416559,15.910142615224858,15.910142615224858,58.940954911138405,0.0,43.03081229591355
4000,1.0000000000000346,11.805763865215832,11.805763865215832,10.805763865215798,0.0,11.805763865215832,18.680598389810953,18.680598389810953,6.874834524595121,0.0,18.680598389810953,18.680598389810953,15.60792647394872,0.0,-3.0726719158622338,15.60792647394872,15.60792647394872,55.16603005715718,0.0,39.558103583208464
5000,1.000000000000038,11.905065679451651,11.905065679451651,10.905065679451614,0.0,11.905065679451651,17.78318699223161,17.78318699223161,5.8781213127799585,0.0,17.78318699223161,17.78318699223161,14.865850042113593,0.0,-2.917336950118017,14.865850042113593,14.865850042113593,52.30743587780905,0.0,37.441585835695456
6000,1.0000000000000415,11.201616110895191,11.201616110895191,10.20161611089515,0.0,11.201616110895191,13.797470169232923,13.797470169232923,2.595854058337732,0.0,13.797470169232923,13.797470169232923,11.049690306063919,0.0,-2.7477798631690042,11.049690306063919,11.049690306063919,34.58825770268639,0.0,23.538567396622472
7000,1.000000000000043,6.156326218240759,6.156326218240759,5.156326218240716,0.0,6.156326218240759,6.117885153068517,6.117885153068517,-0.03844106517224155,0.0,6.117885153068517,6.117885153068517,6.828206124816041,0.0,0.7103209717475236,6.828206124816041,6.828206124816041,14.54488200655208,0.0,7.716675881736038
8000,1.0000000000000373,5.786878009278092,5.786878009278092,4.7868780092780545,0.0,5.786878009278092,6.091964430625019,6.091964430625019,0.3050864213469273,0.0,6.091964430625019,6.091964430625019,7.035263358639016,0.0,0.9432989280139967,7.035263358639016,7.035263358639016,14.272396271035912,0.0,7.237132912396897
9000,1.0000000000000384,5.700275556003067,5.700275556003067,4.700275556003029,0.0,5.700275556003067,5.974957075850045,5.974957075850045,0.2746815198469781,0.0,5.974957075850045,5.974957075850045,7.003066960444683,0.0,1.0281098845946381,7.003066960444683,7.003066960444683,13.667724846548913,0.0,6.664657886104229
10000,1.0000000000000373,6.019775135866375,6.019775135866375,5.019775135866338,0.0,6.019775135866375,6.106363456856929,6.106363456856929,0.08658832099055402,0.0,6.106363456856929,6.106363456856929,7.164464907653328,0.0,1.058101450796399,7.164464907653328,7.164464907653328,13.341264116207002,0.0,6.176799208553674
