kind,epoch,path,extra
periodic,14000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep14000.pt,{}
periodic,14500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep14500.pt,{}
periodic,15000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep15000.pt,{}
periodic,15500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep15500.pt,{}
periodic,16000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep16000.pt,{}
periodic,16500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep16500.pt,{}
periodic,17000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep17000.pt,{}
periodic,17500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep17500.pt,{}
periodic,18000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep18000.pt,{}
periodic,18500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep18500.pt,{}
periodic,19000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep19000.pt,{}
periodic,19500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep19500.pt,{}
periodic,20000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep20000.pt,{}
periodic,20500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep20500.pt,{}
