run_name,variant,seed,epoch,step,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,best_val_acc_so_far,learning_rate,weight_decay,elapsed_time_seconds
freeze_M0_seed1,freeze_M0,1,1,12,4.739966114362081,4.75178321202596,4.747705909184047,0.00881201044386423,0.006527415143603133,0.007495245553193869,0.006527415143603133,0.0003,1.0,0.7962186336517334
freeze_M0_seed1,freeze_M0,1,25,300,3.935827990372976,5.931652069091797,5.971668257032122,0.09758485639686684,0.0013054830287206266,0.0024611254055263453,0.006527415143603133,0.0003,1.0,7.614230155944824
freeze_M0_seed1,freeze_M0,1,50,600,1.7431817054748535,9.828279177347818,10.098807852608816,0.549934725848564,0.0039164490861618795,0.004251034791363687,0.006527415143603133,0.0003,1.0,13.449040651321411
freeze_M0_seed1,freeze_M0,1,75,900,0.4029671400785446,14.064057985941568,14.49732766832624,0.952023498694517,0.006527415143603133,0.003915426781519186,0.006527415143603133,0.0003,1.0,21.717261791229248
freeze_M0_seed1,freeze_M0,1,100,1200,0.33892130851745605,14.406071980794271,14.970336314610073,0.9546344647519582,0.005221932114882507,0.005257858820897192,0.006527415143603133,0.0003,1.0,28.967715978622437
freeze_M0_seed1,freeze_M0,1,125,1500,0.2652052553991477,14.115102132161459,14.463169397626604,0.9680156657963447,0.005221932114882507,0.0045866428012081885,0.006527415143603133,0.0003,1.0,37.27155256271362
freeze_M0_seed1,freeze_M0,1,150,1800,0.13184224317471185,13.906590143839518,14.319285447256906,0.9951044386422977,0.005221932114882507,0.003579818771674684,0.006527415143603133,0.0003,1.0,44.19865107536316
freeze_M0_seed1,freeze_M0,1,175,2100,0.07827071473002434,13.65935198465983,14.017306927272251,1.0,0.0039164490861618795,0.004362904127978521,0.006527415143603133,0.0003,1.0,51.45206427574158
freeze_M0_seed1,freeze_M0,1,200,2400,0.38744548956553143,13.332902908325195,13.619244112287248,0.9252610966057441,0.005221932114882507,0.006264682850430697,0.006527415143603133,0.0003,1.0,56.55875635147095
freeze_M0_seed1,freeze_M0,1,225,2700,0.07058839189509551,13.403430302937826,13.75724961417062,1.0,0.005221932114882507,0.006040944177201029,0.006527415143603133,0.0003,1.0,64.28116393089294
freeze_M0_seed1,freeze_M0,1,250,3000,0.057954990615447365,13.603349367777506,13.933642033168248,0.9996736292428199,0.0039164490861618795,0.005705336167356527,0.006527415143603133,0.0003,1.0,71.10114860534668
freeze_M0_seed1,freeze_M0,1,275,3300,0.05609543311099211,13.413225491841635,13.733740316118514,1.0,0.005221932114882507,0.006376552187045531,0.006527415143603133,0.0003,1.0,77.95441150665283
freeze_M0_seed1,freeze_M0,1,300,3600,0.220750001569589,13.454218864440918,13.876205689566476,0.9686684073107049,0.0039164490861618795,0.007383376216579036,0.006527415143603133,0.0003,1.0,86.09253358840942
freeze_M0_seed1,freeze_M0,1,325,3900,0.05055380302170912,13.031498273213705,13.35130934034075,1.0,0.0026109660574412533,0.005929074840586196,0.006527415143603133,0.0003,1.0,94.7485716342926
freeze_M0_seed1,freeze_M0,1,350,4200,0.04544346003482739,13.408513387044271,13.728213800702775,1.0,0.005221932114882507,0.005705336167356527,0.006527415143603133,0.0003,1.0,102.05138087272644
freeze_M0_seed1,freeze_M0,1,375,4500,0.39178891728321713,12.716364224751791,13.061126245771135,0.910574412532637,0.01174934725848564,0.009620762948875714,0.01174934725848564,0.0003,1.0,109.09371423721313
freeze_M0_seed1,freeze_M0,1,400,4800,0.04325118288397789,12.9508695602417,13.239404106140137,1.0,0.007832898172323759,0.007942722899653205,0.01174934725848564,0.0003,1.0,116.02207636833191
