run_name,variant,seed,freeze_A0,freeze_M0,epoch,checkpoint_label,train_acc,val_acc,test_acc_at_best_val_if_applicable,layer,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
freeze_M0_seed1,freeze_M0,1,0,1,0,random_init,,,,0,1.000000000000049,68.66918120645008,65.42983179968216,67.66918120645003,-3.2393494067679143
freeze_M0_seed1,freeze_M0,1,0,1,0,random_init,,,,1,65.42983179968216,74.28322631032599,69.7306437692787,8.853394510643824,-4.552582541047286
freeze_M0_seed1,freeze_M0,1,0,1,0,random_init,,,,2,69.7306437692787,71.52538581245105,67.12578458107534,1.7947420431723486,-4.399601231375712
freeze_M0_seed1,freeze_M0,1,0,1,100,periodic_full,0.9546344647519582,0.005221932114882507,,0,1.0000000000000397,37.58059143675014,34.66045669406402,36.5805914367501,-2.9201347426861233
freeze_M0_seed1,freeze_M0,1,0,1,100,periodic_full,0.9546344647519582,0.005221932114882507,,1,34.66045669406402,36.92667405607718,25.288434492320235,2.2662173620131654,-11.638239563756947
freeze_M0_seed1,freeze_M0,1,0,1,100,periodic_full,0.9546344647519582,0.005221932114882507,,2,25.288434492320235,47.02575223864111,85.57623169825949,21.737317746320876,38.55047945961838
freeze_M0_seed1,freeze_M0,1,0,1,150,first_train_acc_ge_0.99,0.9951044386422977,0.005221932114882507,,0,1.0000000000000429,31.687661309664986,30.21894967046735,30.687661309664943,-1.468711639197636
freeze_M0_seed1,freeze_M0,1,0,1,150,first_train_acc_ge_0.99,0.9951044386422977,0.005221932114882507,,1,30.21894967046735,31.54097543613548,21.53328990420106,1.3220257656681298,-10.00768553193442
freeze_M0_seed1,freeze_M0,1,0,1,150,first_train_acc_ge_0.99,0.9951044386422977,0.005221932114882507,,2,21.53328990420106,44.5407969162982,84.40559234028433,23.00750701209714,39.86479542398613
freeze_M0_seed1,freeze_M0,1,0,1,200,periodic_full,0.9252610966057441,0.005221932114882507,,0,1.0000000000000349,27.20680902327273,27.253968574605988,26.206809023272694,0.047159551333258776
freeze_M0_seed1,freeze_M0,1,0,1,200,periodic_full,0.9252610966057441,0.005221932114882507,,1,27.253968574605988,28.635539609955927,20.68411997318523,1.381571035349939,-7.951419636770698
freeze_M0_seed1,freeze_M0,1,0,1,200,periodic_full,0.9252610966057441,0.005221932114882507,,2,20.68411997318523,43.0186761221771,83.64254446154577,22.33455614899187,40.62386833936867
freeze_M0_seed1,freeze_M0,1,0,1,300,periodic_full,0.9686684073107049,0.0039164490861618795,,0,1.0000000000000415,21.417697525684748,24.01512302111975,20.417697525684705,2.597425495435001
freeze_M0_seed1,freeze_M0,1,0,1,300,periodic_full,0.9686684073107049,0.0039164490861618795,,1,24.01512302111975,24.61137964910707,19.078047020693145,0.5962566279873229,-5.533332628413927
freeze_M0_seed1,freeze_M0,1,0,1,300,periodic_full,0.9686684073107049,0.0039164490861618795,,2,19.078047020693145,41.751115503481095,83.33755152522889,22.67306848278795,41.586436021747794
freeze_M0_seed1,freeze_M0,1,0,1,400,periodic_full,1.0,0.007832898172323759,,0,1.0000000000000466,18.739914565274137,22.558270056361277,17.73991456527409,3.8183554910871393
freeze_M0_seed1,freeze_M0,1,0,1,400,periodic_full,1.0,0.007832898172323759,,1,22.558270056361277,22.02261990600835,17.1010879470914,-0.5356501503529252,-4.921531958916951
freeze_M0_seed1,freeze_M0,1,0,1,400,periodic_full,1.0,0.007832898172323759,,2,17.1010879470914,40.48690212691495,81.63759406052421,23.385814179823548,41.15069193360926
freeze_M0_seed1,freeze_M0,1,0,1,500,periodic_full,1.0,0.009138381201044387,,0,1.0000000000000384,17.207289451606147,21.953242950234714,16.20728945160611,4.745953498628566
freeze_M0_seed1,freeze_M0,1,0,1,500,periodic_full,1.0,0.009138381201044387,,1,21.953242950234714,20.69602305440819,16.23037983792603,-1.2572198958265233,-4.46564321648216
freeze_M0_seed1,freeze_M0,1,0,1,500,periodic_full,1.0,0.009138381201044387,,2,16.23037983792603,39.600862138826464,79.42218949512873,23.370482300900434,39.82132735630227
freeze_M0_seed1,freeze_M0,1,0,1,600,periodic_full,1.0,0.006527415143603133,,0,1.000000000000044,16.417736676606694,21.825944246503138,15.41773667660665,5.408207569896444
freeze_M0_seed1,freeze_M0,1,0,1,600,periodic_full,1.0,0.006527415143603133,,1,21.825944246503138,20.07212806972058,15.831052843187942,-1.753816176782557,-4.241075226532638
freeze_M0_seed1,freeze_M0,1,0,1,600,periodic_full,1.0,0.006527415143603133,,2,15.831052843187942,39.13797710175328,78.01589694531911,23.30692425856534,38.877919843565834
freeze_M0_seed1,freeze_M0,1,0,1,700,periodic_full,0.9807441253263708,0.007832898172323759,,0,1.0000000000000466,15.981509532691467,21.74241840410508,14.98150953269142,5.760908871413614
freeze_M0_seed1,freeze_M0,1,0,1,700,periodic_full,0.9807441253263708,0.007832898172323759,,1,21.74241840410508,19.775756683473276,15.517185128926466,-1.966661720631805,-4.25857155454681
freeze_M0_seed1,freeze_M0,1,0,1,700,periodic_full,0.9807441253263708,0.007832898172323759,,2,15.517185128926466,38.064459850497975,75.41909652754926,22.54727472157151,37.35463667705128
freeze_M0_seed1,freeze_M0,1,0,1,800,periodic_full,1.0,0.009138381201044387,,0,1.000000000000036,15.79148985342339,22.067326841712486,14.791489853423354,6.275836988289097
freeze_M0_seed1,freeze_M0,1,0,1,800,periodic_full,1.0,0.009138381201044387,,1,22.067326841712486,19.81111234008125,15.821913843822891,-2.2562145016312343,-3.9891984962583606
freeze_M0_seed1,freeze_M0,1,0,1,800,periodic_full,1.0,0.009138381201044387,,2,15.821913843822891,39.07752020788533,79.76734027944882,23.255606364062437,40.68982007156349
freeze_M0_seed1,freeze_M0,1,0,1,900,periodic_full,1.0,0.006527415143603133,,0,1.0000000000000488,15.548396580761398,21.639066651517698,14.548396580761349,6.0906700707563
freeze_M0_seed1,freeze_M0,1,0,1,900,periodic_full,1.0,0.006527415143603133,,1,21.639066651517698,19.40020961091052,15.379043363342117,-2.2388570406071793,-4.021166247568402
