run_id,depth,schedule,seed_implicit,num_blocks,num_attention,num_mlp,num_alternations,a_before_m_score,first_block,last_block,param_count,best_val_epoch,best_val_acc,test_acc_at_best_val,final_train_acc,final_val_acc,final_epoch,grokking_tau,status,final_rep_erank_best_val,final_rep_erank_final,sum_delta_A_best_val,sum_delta_M_best_val,mean_delta_A_best_val,mean_delta_M_best_val,same_sum_ratio_best_val,top5_mass_best_val,top10_mass_best_val,is_balanced,is_control
depth2_bal_AAMM,2,AAMM,0,4,2,2,1,1.0,A,M,424960,45800,0.9947780678851175,0.9873587649625237,1.0,0.9817232375979112,50000,6325,GROKKED,10.253069396817127,11.129731562419469,5.407181629218353,3.845887767598734,2.7035908146091767,1.922943883799367,0.04642392623472872,0.6887641131876715,0.9019906195881293,1,0
depth2_bal_AMAM,2,AMAM,0,4,2,2,3,0.75,A,M,424960,7125,1.0,0.9994406533169258,1.0,1.0,13775,7025,GROKKED,24.049088680206015,16.910338919031336,13.43104414165834,9.618044538547633,6.71552207082917,4.809022269273816,0.2412884907757429,0.39123219940057913,0.6715151530057648,1,0
depth2_bal_AMMA,2,AMMA,0,4,2,2,2,0.5,A,A,424960,10200,1.0,0.9991050453070813,1.0,0.9973890339425587,50000,8600,GROKKED,7.809237972164529,6.37573263882623,3.429757462848729,3.3794805093157603,1.7148787314243645,1.6897402546578801,0.019218556989740107,0.8275303682923199,0.956247079182235,1,0
depth2_bal_MAAM,2,MAAM,0,4,2,2,2,0.5,M,M,424960,14125,1.0,0.9956370958720214,1.0,1.0,19200,14075,GROKKED,31.505989465698743,21.9284056893338,16.490804093610652,14.015185372088053,8.245402046805326,7.007592686044027,0.3986130685716514,0.3395029336251059,0.5873182647361187,1,0
depth2_bal_MAMA,2,MAMA,0,4,2,2,3,0.25,M,A,424960,10700,0.009138381201044387,0.003579818771674684,1.0,0.0039164490861618795,50000,,MEMORIZED_ONLY,74.09325884732414,76.15613238124051,42.09922312223022,30.994035725093866,21.04961156111511,15.497017862546933,1.20142128872396,0.17764621113393825,0.31689837481324523,1,0
depth2_bal_MMAA,2,MMAA,0,4,2,2,1,0.0,M,A,424960,39775,0.016971279373368148,0.00548159749412686,1.0,0.010443864229765013,50000,,MEMORIZED_ONLY,75.07417891458475,75.42815965423537,74.0741789145847,-4.218847493575595e-15,37.03708945729235,-2.1094237467877974e-15,1.2399354945014567,0.13075690190764194,0.2407131659593378,1,0
depth3_bal_AAAMMM,3,AAAMMM,0,6,3,3,1,1.0,A,M,622720,10125,0.9882506527415144,0.981094082112093,0.4210182767624021,0.34986945169712796,50000,7975,GROKKED,7.05634126299748,9.277640427724268,3.3080000713813864,2.748341191616051,1.102666690460462,0.9161137305386836,0.03375837648921302,0.8600677477909093,0.9649835663174535,1,0
depth3_bal_AAMAMM,3,AAMAMM,0,6,3,3,3,0.8888888888888888,A,M,622720,7175,1.0,0.9987694372972368,1.0,1.0,50000,7050,GROKKED,11.465505151078245,4.624566148016059,12.80096033567278,-2.3354551845945775,4.266986778557594,-0.7784850615315259,0.029299600773220514,0.7584412097260517,0.8954657384982218,1,0
depth3_bal_AAMMAM,3,AAMMAM,0,6,3,3,3,0.7777777777777778,A,M,622720,3725,1.0,0.9956370958720214,1.0,1.0,50000,2900,GROKKED,13.862275157131815,13.388330618273416,9.920488600406578,2.9417865567252024,3.3068295334688593,0.9805955189084008,0.046318270460504074,0.6848778569115881,0.8554973692712661,1,0
depth3_bal_AAMMMA,3,AAMMMA,0,6,3,3,2,0.6666666666666666,A,A,622720,7650,1.0,0.997986351940933,1.0,0.9934725848563969,50000,2150,GROKKED,8.87490418336379,8.192892043699441,2.033127604250775,5.841776579112974,0.677709201416925,1.9472588597043246,0.029203727092023825,0.8118611811543216,0.9157254360042831,1,0
depth3_bal_AMAAMM,3,AMAAMM,0,6,3,3,3,0.7777777777777778,A,M,622720,13875,1.0,0.9975388745944737,0.9902088772845953,0.9830287206266318,50000,11925,GROKKED,13.258635632650314,10.424408905610363,5.873665493764781,6.384970138885498,1.9578884979215936,2.1283233796284993,0.026219285234855106,0.676115547800226,0.8835233962713899,1,0
depth3_bal_AMAMAM,3,AMAMAM,0,6,3,3,5,0.6666666666666666,A,M,622720,4600,1.0,0.995972703881866,1.0,1.0,50000,3775,GROKKED,15.08322907638206,12.454593134672061,10.56975856793603,3.5134705084459927,3.523252855978677,1.1711568361486642,0.06062784784712524,0.6248973916293221,0.8433474357085602,1,0
depth3_bal_AMAMMA,3,AMAMMA,0,6,3,3,4,0.5555555555555556,A,A,622720,13700,1.0,0.9948540105157176,0.9213446475195822,0.881201044386423,50000,3375,GROKKED,8.587196968240956,3.756331501866643,1.3504855949115857,6.236711373329334,0.45016186497052857,2.078903791109778,0.03438236811724951,0.7852691272334864,0.9032815972037316,1,0
depth3_bal_AMMAAM,3,AMMAAM,0,6,3,3,3,0.5555555555555556,A,M,622720,5050,1.0,0.9982100906141627,0.41906005221932113,0.26631853785900783,50000,5000,GROKKED,19.296168985830235,23.784463507207214,11.542817333288326,6.753351652541857,3.8476057777627752,2.2511172175139524,0.14617852630861328,0.5367296800982349,0.8007066216945029,1,0
depth3_bal_AMMAMA,3,AMMAMA,0,6,3,3,4,0.4444444444444444,A,A,622720,4925,1.0,0.997315135921244,1.0,1.0,50000,4575,GROKKED,18.580709316389534,5.160201936611049,13.682242264766687,3.898467051622819,4.5607474215888955,1.2994890172076063,0.09113405744496728,0.5914842795935327,0.778163461556499,1,0
depth3_bal_AMMMAA,3,AMMMAA,0,6,3,3,2,0.3333333333333333,A,A,622720,19775,1.0,0.9982100906141627,1.0,0.9986945169712794,50000,19525,GROKKED,22.6943413126386,12.284689245044836,17.81640879153358,3.8779325211049755,5.938802930511193,1.2926441737016585,0.14916815951119225,0.464581992393822,0.7361643617389864,1,0
