run_id,depth,schedule,seed,epoch,relative_epoch_to_tau,train_acc,val_acc,checkpoint_label,final_rep_erank,sum_delta_A,sum_delta_M,mean_delta_A,mean_delta_M,max_positive_delta_block_index,max_negative_delta_block_index
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,0,-2450,,,random_init,78.13026178722203,78.58545695511827,-1.455195167896294,19.64636423877957,-0.3637987919740735,1,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,200,-2250,0.9993472584856397,0.009138381201044387,first_train_acc_ge_0.99,73.08848272312164,34.04112304480607,38.04735967831554,8.510280761201518,9.511839919578884,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,1000,,0.9986945169712794,0.015665796344647518,periodic,72.33124539024321,24.95619665037798,46.375048739865186,6.239049162594495,11.593762184966296,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,1875,-575,0.9996736292428199,0.05352480417754569,first_val_acc_ge_0.05,71.11938551260059,24.773324659544436,45.34606085305611,6.193331164886109,11.336515213264027,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,2000,,1.0,0.08485639686684072,periodic,71.51931520889764,25.52478841105662,44.994526797840976,6.381197102764155,11.248631699460244,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,2275,-175,0.9996736292428199,0.2519582245430809,first_val_acc_ge_0.25,59.83506348475884,25.981015768796162,32.85404771596263,6.4952539421990405,8.213511928990657,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,2325,-125,1.0,0.5992167101827677,first_val_acc_ge_0.50,58.58705251225507,24.405103828730997,33.18194868352404,6.101275957182749,8.29548717088101,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,2375,-75,1.0,0.8368146214099217,first_val_acc_ge_0.75,45.302668420290246,23.09242718188886,21.210241238401345,5.773106795472215,5.302560309600336,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,2450,0,1.0,0.97911227154047,first_val_acc_ge_0.95,33.32944086105534,19.265463106320297,13.063977754735001,4.816365776580074,3.2659944386837503,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,2800,350,1.0,1.0,best_val,19.823363740218554,13.123456665571759,5.699907074646754,3.2808641663929397,1.4249767686616885,6,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,3000,550,1.0,1.0,periodic,17.505848057983016,11.981115844493015,4.524732213489958,2.9952789611232538,1.1311830533724896,6,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,4000,1550,1.0,1.0,periodic,18.431691734612837,10.796685541268811,6.63500619334399,2.699171385317203,1.6587515483359976,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,5000,2550,0.9246083550913838,0.7154046997389034,periodic,20.784521190687613,9.062652082022375,10.721869108665205,2.2656630205055937,2.680467277166301,7,0
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,6000,3550,0.9477806788511749,0.706266318537859,periodic,27.424594750751535,9.08002277685564,17.34457197389585,2.27000569421391,4.336142993473962,7,0
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,7000,4550,0.9941253263707572,0.9516971279373369,periodic,24.561823141560946,9.167903859910222,14.39391928165068,2.2919759649775555,3.59847982041267,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,8000,5550,0.9996736292428199,0.9921671018276762,periodic,20.191522774913654,9.423185071864074,9.768337703049534,2.3557962679660185,2.4420844257623835,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,9000,6550,0.9983681462140992,0.12402088772845953,periodic,23.440419484772924,9.721380522853075,12.719038961919807,2.4303451307132686,3.179759740479952,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,10000,7550,0.654373368146214,0.3368146214099217,periodic,21.50173933199834,9.103194437143639,11.398544894854659,2.2757986092859097,2.8496362237136648,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,11000,8550,0.8860966057441253,0.6240208877284595,periodic,19.262761031466244,7.836772339371229,10.425988692094979,1.9591930848428072,2.6064971730237447,7,0
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,12000,9550,0.5982375979112271,0.5496083550913838,periodic,21.499535086909773,7.2889939303342475,13.21054115657548,1.8222484825835619,3.30263528914387,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,13000,10550,0.9911879895561357,0.9647519582245431,periodic,22.247429987092346,8.066163557123748,13.181266429968554,2.016540889280937,3.2953166074921385,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,14000,11550,0.8945822454308094,0.8472584856396866,periodic,18.952665838953404,7.826613552144828,10.126052286808543,1.956653388036207,2.5315130717021357,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,15000,12550,1.0,0.9895561357702349,periodic,19.695732596230155,7.211471292518943,11.48426130371118,1.8028678231297357,2.871065325927795,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,16000,13550,0.6537206266318538,0.5091383812010444,periodic,20.191349470427284,8.8720155528781,10.319333917549145,2.218003888219525,2.579833479387286,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,17000,14550,0.8658616187989556,0.7297650130548303,periodic,20.314703001508512,8.323009744902642,10.991693256605839,2.0807524362256604,2.7479233141514596,7,4
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,18000,15550,0.9343994778067886,0.7741514360313316,periodic,22.911719323271548,7.307769089111126,14.603950234160385,1.8269422722777815,3.650987558540096,7,5
depth4_bal_MAAAMMAM,4,MAAAMMAM,0,19000,16550,0.8733681462140992,0.6566579634464752,periodic,21.689364874616235,8.125093081276455,12.564271793339744,2.031273270319114,3.141067948334936,7,5
