run_id,depth,schedule,epoch,step,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,best_val_acc_so_far,learning_rate,weight_decay,elapsed_time_seconds
depth4_bal_MAAAMMAM,4,MAAAMMAM,1,12,4.737375656763713,4.745406627655029,4.737558991568429,0.007832898172323759,0.009138381201044387,0.00839020024611254,0.009138381201044387,0.0003,1.0,0.8255739212036133
depth4_bal_MAAAMMAM,4,MAAAMMAM,25,300,4.103692332903544,5.730932712554932,5.707598481859479,0.08420365535248042,0.0013054830287206266,0.002572994742141179,0.009138381201044387,0.0003,1.0,6.314133644104004
depth4_bal_MAAAMMAM,4,MAAAMMAM,50,600,2.3480313420295715,8.924641291300455,8.910741560799735,0.3825065274151436,0.005221932114882507,0.005145989484282358,0.009138381201044387,0.0003,1.0,14.502208232879639
depth4_bal_MAAAMMAM,4,MAAAMMAM,75,900,0.9277481933434805,12.841696421305338,12.871512903485979,0.764686684073107,0.009138381201044387,0.007271506879964202,0.009138381201044387,0.0003,1.0,22.363576412200928
depth4_bal_MAAAMMAM,4,MAAAMMAM,100,1200,0.6573109726111094,13.712839126586914,13.76295738220215,0.845626631853786,0.010443864229765013,0.007607114889808703,0.010443864229765013,0.0003,1.0,30.66720962524414
depth4_bal_MAAAMMAM,4,MAAAMMAM,125,1500,0.5776507233579954,15.593832651774088,15.64558732169015,0.8433420365535248,0.010443864229765013,0.008502069582727374,0.010443864229765013,0.0003,1.0,39.06552243232727
depth4_bal_MAAAMMAM,4,MAAAMMAM,150,1800,0.20715082436800003,15.892203013102213,15.866698346819197,0.9738903394255874,0.005221932114882507,0.009956370958720215,0.010443864229765013,0.0003,1.0,46.26442003250122
depth4_bal_MAAAMMAM,4,MAAAMMAM,175,2100,0.14359496409694353,15.433111190795898,15.375559316362654,0.9898825065274152,0.007832898172323759,0.010627586978409218,0.010443864229765013,0.0003,1.0,54.34325361251831
depth4_bal_MAAAMMAM,4,MAAAMMAM,200,2400,0.07677171751856804,15.299670537312826,15.31745741707938,0.9993472584856397,0.009138381201044387,0.01129880299809822,0.010443864229765013,0.0003,1.0,62.80681347846985
depth4_bal_MAAAMMAM,4,MAAAMMAM,225,2700,0.6972830990950266,14.79696273803711,14.835949325561524,0.797976501305483,0.013054830287206266,0.012081888354402059,0.013054830287206266,0.0003,1.0,71.45371270179749
depth4_bal_MAAAMMAM,4,MAAAMMAM,250,3000,0.12647472011546293,15.163334528605143,15.087435477120536,0.9866187989556136,0.01174934725848564,0.01331245105716523,0.013054830287206266,0.0003,1.0,80.61574625968933
depth4_bal_MAAAMMAM,4,MAAAMMAM,275,3300,0.03848364887138208,15.22665023803711,15.251964214869908,0.9996736292428199,0.015665796344647518,0.014095536413469069,0.015665796344647518,0.0003,1.0,87.18612384796143
depth4_bal_MAAAMMAM,4,MAAAMMAM,300,3600,0.12385629303753376,15.263774553934732,15.244654246738978,0.9859660574412533,0.01174934725848564,0.013536189730394898,0.015665796344647518,0.0003,1.0,96.05964589118958
depth4_bal_MAAAMMAM,4,MAAAMMAM,325,3900,0.04703989283492168,14.657792727152506,14.553002411978586,1.0,0.009138381201044387,0.015102360443002573,0.015665796344647518,0.0003,1.0,104.07652735710144
depth4_bal_MAAAMMAM,4,MAAAMMAM,350,4200,0.37423737347126007,12.785715103149414,12.787427575247628,0.9366840731070496,0.0039164490861618795,0.011746280344557557,0.015665796344647518,0.0003,1.0,108.10327672958374
depth4_bal_MAAAMMAM,4,MAAAMMAM,375,4500,0.04738957807421684,14.111376762390137,13.986079052516393,1.0,0.007832898172323759,0.01588544579930641,0.015665796344647518,0.0003,1.0,112.1102123260498
depth4_bal_MAAAMMAM,4,MAAAMMAM,400,4800,0.6059102018674215,12.205469767252604,12.13263726915632,0.8400783289817232,0.018276762402088774,0.018794048551292093,0.018276762402088774,0.0003,1.0,120.07215142250061
depth4_bal_MAAAMMAM,4,MAAAMMAM,425,5100,0.047978295013308525,13.529801686604818,13.582428632463728,1.0,0.010443864229765013,0.01678040049222508,0.018276762402088774,0.0003,1.0,127.17874598503113
depth4_bal_MAAAMMAM,4,MAAAMMAM,450,5400,0.22874199723203978,12.840762774149576,12.853390720912389,0.9716057441253264,0.014360313315926894,0.01588544579930641,0.018276762402088774,0.0003,1.0,132.21707773208618
depth4_bal_MAAAMMAM,4,MAAAMMAM,475,5700,0.05894685909152031,13.535709698994955,13.590836306980679,0.9996736292428199,0.01174934725848564,0.016892269828839915,0.018276762402088774,0.0003,1.0,135.61589741706848
depth4_bal_MAAAMMAM,4,MAAAMMAM,500,6000,0.311639371017615,12.68326187133789,12.529684666224888,0.9556135770234987,0.010443864229765013,0.017451616511914084,0.018276762402088774,0.0003,1.0,139.40004897117615
depth4_bal_MAAAMMAM,4,MAAAMMAM,525,6300,0.09081982572873433,13.942804018656412,13.70663013458252,0.9960835509138382,0.014360313315926894,0.01789909385837342,0.018276762402088774,0.0003,1.0,146.52639627456665
depth4_bal_MAAAMMAM,4,MAAAMMAM,550,6600,0.07656531253208716,13.207821528116861,13.13055978502546,0.9990208877284595,0.014360313315926894,0.018905917887906926,0.018276762402088774,0.0003,1.0,150.04311537742615
depth4_bal_MAAAMMAM,4,MAAAMMAM,575,6900,0.15546616787711778,14.021523157755533,13.972992760794503,0.9771540469973891,0.014360313315926894,0.01957713390759593,0.018276762402088774,0.0003,1.0,156.3138132095337
depth4_bal_MAAAMMAM,4,MAAAMMAM,600,7200,0.05507253886510929,13.061108271280924,12.925328581673758,1.0,0.015665796344647518,0.01857030987806242,0.018276762402088774,0.0003,1.0,163.38691234588623
depth4_bal_MAAAMMAM,4,MAAAMMAM,625,7500,0.07477147504687309,13.695504824320475,13.58343004499163,0.9980417754569191,0.018276762402088774,0.019689003244210763,0.018276762402088774,0.0003,1.0,166.6095848083496
depth4_bal_MAAAMMAM,4,MAAAMMAM,650,7800,0.5777681916952133,13.472347259521484,13.420944949558804,0.8345300261096605,0.014360313315926894,0.01991274191744043,0.018276762402088774,0.0003,1.0,171.44438552856445
depth4_bal_MAAAMMAM,4,MAAAMMAM,675,8100,0.03853673239549001,12.758345603942871,12.735445404052735,1.0,0.016971279373368148,0.020136480590670098,0.018276762402088774,0.0003,1.0,179.5239679813385
