run_id,depth,schedule,epoch,step,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,best_val_acc_so_far,learning_rate,weight_decay,elapsed_time_seconds
depth4_bal_AMAMMAAM,4,AMAMMAAM,1,12,4.737227161725362,4.74661652247111,4.737308202471052,0.00685378590078329,0.010443864229765013,0.008166461572882873,0.010443864229765013,0.0003,1.0,1.041295051574707
depth4_bal_AMAMMAAM,4,AMAMMAAM,25,300,4.091351628303528,5.730585257212321,5.7059416089739114,0.07245430809399478,0.0026109660574412533,0.0030204720886005147,0.010443864229765013,0.0003,1.0,10.35542893409729
depth4_bal_AMAMMAAM,4,AMAMMAAM,50,600,2.376170059045156,8.854130109151205,8.809740992954799,0.38446475195822455,0.0013054830287206266,0.004922250811052691,0.010443864229765013,0.0003,1.0,15.498259544372559
depth4_bal_AMAMMAAM,4,AMAMMAAM,75,900,1.422246774037679,10.935221354166666,10.839635140555245,0.6044386422976501,0.0039164490861618795,0.0045866428012081885,0.010443864229765013,0.0003,1.0,22.648423433303833
depth4_bal_AMAMMAAM,4,AMAMMAAM,100,1200,0.6680230100949606,13.7224973042806,13.751014600481305,0.8338772845953003,0.007832898172323759,0.006264682850430697,0.010443864229765013,0.0003,1.0,29.841242790222168
depth4_bal_AMAMMAAM,4,AMAMMAAM,125,1500,0.5584157258272171,13.858401934305826,13.847702489580428,0.8740208877284595,0.005221932114882507,0.005929074840586196,0.010443864229765013,0.0003,1.0,36.43654680252075
depth4_bal_AMAMMAAM,4,AMAMMAAM,150,1800,0.7005642056465149,12.08540121714274,12.000137601579938,0.8439947780678851,0.006527415143603133,0.006712160196890032,0.010443864229765013,0.0003,1.0,43.84233999252319
depth4_bal_AMAMMAAM,4,AMAMMAAM,175,2100,0.1410478831579288,14.534167607625326,14.656996917724609,0.9964099216710183,0.009138381201044387,0.0050341201476675245,0.010443864229765013,0.0003,1.0,51.292989015579224
depth4_bal_AMAMMAAM,4,AMAMMAAM,200,2400,0.5194237679243088,13.717801094055176,13.679411888122559,0.8785900783289817,0.006527415143603133,0.0069358988701197005,0.010443864229765013,0.0003,1.0,58.088857650756836
depth4_bal_AMAMMAAM,4,AMAMMAAM,225,2700,0.11140322809418042,14.214398066202799,14.204416057041714,0.9977154046997389,0.006527415143603133,0.005593466830741693,0.010443864229765013,0.0003,1.0,63.606380462646484
depth4_bal_AMAMMAAM,4,AMAMMAAM,250,3000,0.6576079825560252,12.391936302185059,12.432912363324846,0.8260443864229765,0.0026109660574412533,0.007271506879964202,0.010443864229765013,0.0003,1.0,69.72462439537048
depth4_bal_AMAMMAAM,4,AMAMMAAM,275,3300,0.08913739336033662,13.639551162719727,13.609541457039969,0.9993472584856397,0.006527415143603133,0.0064884215236603645,0.010443864229765013,0.0003,1.0,77.89797973632812
