run_id,depth,schedule,seed,checkpoint_label,epoch,train_acc,val_acc,test_acc_at_best_val_if_applicable,block_index,block_type,erank_before,erank_after,delta_erank,relative_delta_erank,is_attention,is_mlp
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,0,A,1.0000000000000404,68.38281142605405,67.382811426054,67.38281142605128,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,1,A,68.38281142605405,76.30167282528376,7.918861399229712,0.11580192791272988,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,2,M,76.30167282528376,75.83098229687421,-0.4706905284095484,-0.006168810079529183,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,3,M,75.83098229687421,75.4135944462245,-0.4173878506497175,-0.005504186257480703,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,4,A,75.4135944462245,78.00053449520185,2.586940048977354,0.03430336490355243,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,5,M,78.00053449520185,77.45333727638722,-0.547197218814631,-0.007015300886794455,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,6,A,77.45333727638722,78.59052434650391,1.1371870701166955,0.014682221710585783,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,random_init,0,,,,7,M,78.59052434650391,78.12784022296968,-0.46268412353423116,-0.00588727620004502,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,0,A,1.0000000000000357,5.728590819261154,4.728590819261118,4.728590819260949,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,1,A,5.728590819261154,5.816636422166983,0.08804560290582941,0.01536950459261203,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,2,M,5.816636422166983,5.712649541423332,-0.10398688074365126,-0.017877493657221064,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,3,M,5.712649541423332,5.840411541599234,0.12776200017590256,0.022364753736331965,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,4,A,5.840411541599234,5.215931970222312,-0.6244795713769227,-0.10692389858642158,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,5,M,5.215931970222312,6.746158400442676,1.530226430220364,0.29337545791555697,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,6,A,6.746158400442676,10.858544773252301,4.112386372809626,0.6095893586696356,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,best_val,4600,1.0,1.0,0.9984338292873923,7,M,10.858544773252301,17.278517029943593,6.419972256691292,0.591236891383965,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,0,A,1.0000000000000369,1.9797428203450282,0.9797428203449914,0.9797428203449553,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,1,A,1.9797428203450282,2.0187719400542807,0.03902911970925249,0.019714237277774556,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,2,M,2.0187719400542807,3.5450179464068445,1.5262460063525638,0.7560269568198605,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,3,M,3.5450179464068445,3.3164991693429164,-0.2285187770639281,-0.06446195210254152,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,4,A,3.3164991693429164,5.217101683732638,1.9006025143897216,0.5730749254993119,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,5,M,5.217101683732638,8.404064981273141,3.186963297540503,0.6108685417188097,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,6,A,8.404064981273141,6.92025441219562,-1.4838105690775212,-0.17655867397312022,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,final,50000,0.5907310704960835,0.3877284595300261,,7,M,6.92025441219562,18.850778136571073,11.930523724375453,1.7240007395320893,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,first_train_acc_ge_0.99,250,1.0,0.0039164490861618795,,0,A,1.000000000000041,25.29983834172037,24.299838341720328,24.29983834171933,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,first_train_acc_ge_0.99,250,1.0,0.0039164490861618795,,1,A,25.29983834172037,19.930769579818815,-5.369068761901556,-0.21221751259365806,1,0
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,first_train_acc_ge_0.99,250,1.0,0.0039164490861618795,,2,M,19.930769579818815,14.760076506150774,-5.1706930736680405,-0.2594326853742617,0,1
depth4_bal_AAMMAMAM,4,AAMMAMAM,0,first_train_acc_ge_0.99,250,1.0,0.0039164490861618795,,3,M,14.760076506150774,13.116833536462895,-1.6432429696878792,-0.11133024744167905,0,1
