run_id,depth,schedule,seed,epoch,relative_epoch_to_tau,train_acc,val_acc,checkpoint_label,final_rep_erank,sum_delta_A,sum_delta_M,mean_delta_A,mean_delta_M,max_positive_delta_block_index,max_negative_delta_block_index
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,0,-4900,,,random_init,77.79189783718405,77.07991378722294,-0.28801595003892677,19.269978446805734,-0.07200398750973169,3,4
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,550,-4350,0.9905352480417755,0.010443864229765013,first_train_acc_ge_0.99,92.8090615470148,83.60109203466618,8.20796951234859,20.900273008666545,2.0519923780871476,5,2
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,1000,,0.8629242819843342,0.010443864229765013,periodic,92.89849932834045,80.3735342886498,11.524965039690617,20.09338357216245,2.8812412599226542,5,2
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,2000,,1.0,0.020887728459530026,periodic,92.44547003199328,75.87578236837447,15.569687663618756,18.96894559209362,3.892421915904689,5,2
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,2550,-2350,0.9742167101827677,0.05483028720626632,first_val_acc_ge_0.05,88.80606646252188,72.42547085519234,15.380595607329509,18.106367713798086,3.8451489018323772,5,1
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,3000,,0.9996736292428199,0.050913838120104436,periodic,83.2081841980499,69.4738834054819,12.734300792567964,17.368470851370475,3.183575198141991,5,2
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,4000,,0.9957571801566579,0.10443864229765012,periodic,80.5734136241843,66.27169457577483,13.301719048409424,16.567923643943708,3.325429762102356,5,2
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,4475,-425,0.9996736292428199,0.27023498694516973,first_val_acc_ge_0.25,67.9822975512735,57.08280341794054,9.899494133332926,14.270700854485135,2.4748735333332315,5,2
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,4750,-150,1.0,0.5,first_val_acc_ge_0.50,55.67521443567268,47.46200590260306,7.213208533069583,11.865501475650765,1.8033021332673957,3,1
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,4825,-75,1.0,0.7859007832898173,first_val_acc_ge_0.75,48.277334470894246,40.947247865885664,6.330086605008541,10.236811966471416,1.5825216512521352,3,1
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,4900,0,1.0,0.9569190600522193,first_val_acc_ge_0.95,35.032119972803365,29.435970655404915,4.5961493173984085,7.35899266385123,1.1490373293496021,3,1
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,5000,100,1.0,0.9960835509138382,periodic,27.831342539230388,22.057801048993397,4.7735414902369415,5.514450262248349,1.1933853725592354,3,0
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,5375,475,1.0,1.0,best_val,16.37085180003082,11.839076236920633,3.5317755631101537,2.959769059230158,0.8829438907775384,3,1
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,6000,1100,1.0,0.9934725848563969,periodic,7.682495911227408,4.135936640379491,2.546559270847885,1.0339841600948727,0.6366398177119712,3,7
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,7000,2100,0.9911879895561357,0.8942558746736292,periodic,4.803093740674067,0.39722997187545594,3.4058637687985662,0.09930749296886399,0.8514659421996416,3,7
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,8000,3100,0.924934725848564,0.8616187989556136,periodic,6.080621300141988,0.44769539916542644,4.632925900976517,0.11192384979135639,1.1582314752441292,3,7
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,9000,4100,1.0,0.9947780678851175,periodic,5.572763645618881,2.22051268470642,2.352250960912423,0.5551281711766052,0.5880627402281058,3,7
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,10000,5100,1.0,0.9869451697127938,periodic,5.65909221089578,1.934418508331527,2.7246737025642123,0.48360462708288177,0.6811684256410531,3,7
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,11000,6100,0.9977154046997389,1.0,periodic,3.987302487495149,0.9918108749537797,1.9954916125413258,0.2479527187384447,0.49887290313533145,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,12000,7100,0.6331592689295039,0.6279373368146214,periodic,4.832226091623592,0.9721116835222068,2.8601144081013454,0.2430279208805517,0.7150286020253364,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,13000,8100,1.0,1.0,periodic,3.207791762856536,0.033440993906648675,2.1743507689498482,0.008360248476662169,0.5435876922374621,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,14000,9100,0.8077676240208878,0.5587467362924282,periodic,3.3503512761713594,0.256600217323399,2.093751058847918,0.06415005433084975,0.5234377647119794,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,15000,10100,0.7787206266318538,0.7650130548302873,periodic,4.562956644653922,1.8563564120129845,1.7066002326408976,0.46408910300324613,0.4266500581602244,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,16000,11100,0.9892297650130548,0.9608355091383812,periodic,6.616884207563863,3.3875238460417867,2.2293603615220388,0.8468809615104467,0.5573400903805097,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,17000,12100,0.9419060052219321,0.9268929503916449,periodic,6.2589228251660005,2.991824642512503,2.267098182653452,0.7479561606281258,0.566774545663363,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,18000,13100,0.9523498694516971,0.9647519582245431,periodic,6.298137464712228,3.0075046190431465,2.2906328456690437,0.7518761547607866,0.5726582114172609,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,19000,14100,0.9781331592689295,0.9530026109660574,periodic,6.41246163097309,3.3186676581994172,2.093793972773631,0.8296669145498543,0.5234484931934078,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,20000,15100,0.8325718015665796,0.7088772845953003,periodic,6.176757821685268,3.1169518594530663,2.059805962232152,0.7792379648632666,0.514951490558038,3,6
depth4_bal_MMMAMAAA,4,MMMAMAAA,0,21000,16100,0.9742167101827677,0.9099216710182768,periodic,6.62792785348126,3.2660933999295914,2.3618344535516247,0.8165233499823978,0.5904586133879062,3,6
