model,n_layers,ckpt_kind,ckpt_epoch,test_n,overall_accuracy,best_fixed_pair_baseline,best_fixed_pair_baseline_acc,qpair_accuracy_spread,counterfactual_accuracy,fraction_constant_prediction_across_queries,verdict,match_rate_s01,match_rate_s02,match_rate_s12
hybrid_small_p23_m3_standard_2layer_seed0,2,best_val,4487,7301,0.3202301054650048,always_s01,0.36857964662375015,0.013697581879400067,0.3357976882004342,0.9734201725048407,LIKELY_FIXED_PAIR_SHORTCUT,0.3326941514860978,0.34187097657855087,0.33146144363785784
hybrid_small_p23_m3_standard_3layer_seed0,3,best_val,3977,7301,0.32680454732228464,always_s01,0.36857964662375015,0.023022579877739757,0.35122924367775626,0.9787009329343426,LIKELY_FIXED_PAIR_SHORTCUT,0.3585810162991371,0.3478975482810574,0.349815093822764
hybrid_small_p23_m3_standard_4layer_seed0,4,best_val,3938,7301,0.3363922750308177,always_s01,0.36857964662375015,0.01774663632371143,0.36355101801326056,0.9908466819221968,LIKELY_FIXED_PAIR_SHORTCUT,0.36323791261471033,0.36885358170113686,0.3561156006026572
