section,row_kind,key1,key2,key3,metric,value
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,tau,3150.0
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,final_erank,20.2625098503669
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,sum_delta_attn,8.18237980543189
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,sum_delta_mlp,11.080130044934975
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,topk1,0.1481884174705698
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,topk5,0.5316154910245361
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,topk10,0.7350346038567661
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,topk20,0.9315266805744369
arch,run,modadd_4layer_standard_AMAMAMAM,AM-AM-AM-AM,,same_sum_ratio,0.3366793036682698
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,sum,linear,train_acc,0.33603876645947844
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,sum,linear,val_acc,0.33164384961128235
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,sum,linear,test_acc,0.3224215805530548
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,sum,mlp,train_acc,0.35382955771305286
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,sum,mlp,val_acc,0.34082192182540894
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,sum,mlp,test_acc,0.32228460907936096
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r1,linear,train_acc,0.241228746083115
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r1,linear,val_acc,0.253972589969635
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r1,linear,test_acc,0.2532529830932617
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r1,mlp,train_acc,0.3493947021455112
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r1,mlp,val_acc,0.34082192182540894
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r1,mlp,test_acc,0.3284481465816498
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r2,linear,train_acc,0.24816355884317048
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r2,linear,val_acc,0.24972602725028992
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r2,linear,test_acc,0.2498287856578827
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r2,mlp,train_acc,0.3570144346843376
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r2,mlp,val_acc,0.34616437554359436
probe,result,hybrid_small_p23_m3_standard_2layer_seed0,r2,mlp,test_acc,0.3188604414463043
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,sum,linear,train_acc,0.36281912980942105
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,sum,linear,val_acc,0.35082191228866577
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,sum,linear,test_acc,0.33502259850502014
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,sum,mlp,train_acc,0.35138096950394687
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,sum,mlp,val_acc,0.34684932231903076
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,sum,mlp,test_acc,0.3368031680583954
probe,result,hybrid_small_p23_m3_standard_3layer_seed0,r1,linear,train_acc,0.3334531942946182
