epoch,train_loss,val_loss,test_loss,sum_train_acc,sum_val_acc,sum_test_acc,r1_train_acc,r1_val_acc,r1_test_acc,r2_train_acc,r2_val_acc,r2_test_acc,best_sum_val_acc
1,6.249008840869087,6.2261184330644275,6.225259254718649,0.042310919333573054,0.04547945205479452,0.04218600191754554,0.0982174962757487,0.18808219178082192,0.1924393918641282,0.10513518604133491,0.17,0.17846870291740857,1.0
2,6.204404866331009,6.1923893895642514,6.192381151791277,0.04332117600726015,0.04,0.04232296945623887,0.19953425455043577,0.20452054794520547,0.2140802629776743,0.18862690707350901,0.20438356164383562,0.21284755512943432,1.0
3,6.1721242858853405,6.168307485251591,6.166997284724794,0.043954726802623245,0.043835616438356165,0.040131488837145596,0.23090358041814352,0.2436986301369863,0.25037666073140663,0.2259379120220544,0.23575342465753424,0.23832351732639365,1.0
4,6.143839071931797,6.129931844513992,6.127736420466982,0.04529032037122652,0.045342465753424654,0.04410354745925216,0.2551497405866338,0.30712328767123287,0.312833858375565,0.2598243180767453,0.30767123287671233,0.30612244897959184,1.0
5,6.107587089705155,6.108771472141661,6.1041369109318175,0.04481087652608688,0.04150684931506849,0.041501164224078894,0.26247838221948255,0.23589041095890412,0.2385974524037803,0.2655262752350131,0.25205479452054796,0.25311601150527324,1.0
6,6.079560898276916,6.073787080830541,6.070940987817172,0.04503347545418743,0.0426027397260274,0.046021093000958774,0.27694731254601807,0.3136986301369863,0.3192713326941515,0.2798068526223866,0.336027397260274,0.3294069305574579,1.0
7,6.048432468847416,6.042424695245151,6.038706302642822,0.046728651906645435,0.04643835616438356,0.03917271606629229,0.2631290560093149,0.23232876712328768,0.23229694562388714,0.26687899179808566,0.23082191780821917,0.23517326393644705,1.0
8,6.024751377938617,6.0286322133294465,6.024387935112262,0.046899881851338164,0.041643835616438356,0.04670593069442542,0.25455043578020925,0.25945205479452055,0.2590056156690864,0.2610400506840636,0.26945205479452056,0.28133132447609915,1.0
9,5.984432705625176,5.9831167911661085,5.977185265771274,0.046797143884522524,0.042054794520547945,0.04711683331050541,0.27222136607249875,0.2589041095890411,0.2603752910560197,0.27109124843752674,0.26643835616438355,0.2670867004519929,1.0
10,5.918274271436133,5.892426260586443,5.885342252665553,0.04787589253608671,0.047808219178082194,0.05026708670045199,0.2759713018612695,0.346027397260274,0.3374880153403643,0.27427612540881147,0.336027397260274,0.34474729489111083,1.0
11,5.79741624765521,5.443732146559091,5.457349645680394,0.07064947518021952,0.11191780821917809,0.10039720586221065,0.23006455368914916,0.18027397260273972,0.17435967675660868,0.22838650023116042,0.16397260273972603,0.16997671551842214,1.0
12,5.378174234165375,5.24426794052124,5.257511648638495,0.13342237290457354,0.14835616438356164,0.13696753869332967,0.16141846886183456,0.1573972602739726,0.16463498150938227,0.16134997688395747,0.1663013698630137,0.16668949458978222,1.0
13,5.092221103901426,5.032005507370521,5.0175117788643675,0.15891851166932072,0.17506849315068493,0.16353924119983565,0.1685073885721135,0.16424657534246576,0.17353787152444872,0.16595606239619184,0.17054794520547945,0.16367620873852898,1.0
14,4.912910834150023,4.881018572840198,4.849353872496506,0.2116059656512731,0.22452054794520548,0.23106423777564716,0.18145237239088371,0.1789041095890411,0.1938090672510615,0.17638396602797898,0.17849315068493152,0.18476920969730173,1.0
15,4.708169454049856,4.7331773494852,4.696737897807155,0.2489683395832263,0.23616438356164385,0.23270784823996712,0.19032208352596702,0.1815068493150685,0.1901109437063416,0.1883871851509392,0.19424657534246575,0.18860430078071497,1.0
16,4.535641441178634,4.4853886571423764,4.451317573415822,0.27134809335456583,0.2793150684931507,0.2764004930831393,0.19946576257255869,0.19027397260273973,0.20230105465004794,0.19520213694970975,0.21164383561643835,0.20558827557868786,1.0
17,4.39172835329214,4.358857154846191,4.326568258219752,0.29593671341244154,0.2967123287671233,0.29639775373236543,0.20689714217222308,0.2015068493150685,0.21531297082591425,0.20391774113456962,0.22315068493150686,0.2173674839063142,1.0
18,4.274394368500689,4.2502554860608335,4.208678853922877,0.3054742213318265,0.30013698630136987,0.3063963840569785,0.21492782657831203,0.21095890410958903,0.2261334063826873,0.211160767795072,0.21616438356164383,0.21257362005204766,1.0
19,4.164409791538288,4.153625159428038,4.151811279099563,0.31653567575897673,0.2961643835616438,0.2944802081906588,0.22172565538261332,0.2078082191780822,0.22394192576359404,0.21648601907501583,0.21904109589041096,0.21380632790028764,1.0
20,4.077007648726218,4.135436543102922,4.114222362123686,0.31929247786852966,0.3132876712328767,0.3114641829886317,0.2277015804523895,0.22479452054794521,0.22079167237364744,0.2224276981558535,0.22232876712328767,0.22051773729626079,1.0
21,4.017377524396738,4.084950965026329,4.050481376976802,0.3275115152137806,0.3058904109589041,0.313244760991645,0.22972209379976372,0.2165753424657534,0.2288727571565539,0.22672556976764097,0.22808219178082192,0.2253116011505273,1.0
22,3.962539669728175,3.9836009699722816,3.9615155663983574,0.3348401568466293,0.31232876712328766,0.3162580468428982,0.23234191195356244,0.22479452054794521,0.22969456238871389,0.2278214414136744,0.2321917808219178,0.23065333515956718,1.0
23,3.913658313876156,3.9875789346366095,3.9651720770474137,0.3335388092669646,0.3067123287671233,0.31365566360772495,0.23559528090272427,0.22493150684931507,0.23092727023695384,0.2348076231571377,0.23397260273972603,0.23476236132036707,1.0
24,3.8673390259388754,3.9878431106435843,3.9550320855502425,0.3410900498279139,0.3084931506849315,0.31255992329817833,0.2383349600178079,0.2328767123287671,0.2436652513354335,0.236708275543227,0.23506849315068493,0.2354471990138337,1.0
25,3.8250244600804093,3.8758112068833976,3.849139624628527,0.3440694508655674,0.3119178082191781,0.3173537871524449,0.2449444358829472,0.23438356164383561,0.2362690042459937,0.23766716323350628,0.2356164383561644,0.23476236132036707,1.0
26,3.7861841078928986,3.830707681590113,3.8175514977553795,0.3459529802571874,0.3215068493150685,0.32173674839063143,0.24376294926456737,0.2410958904109589,0.237638679632927,0.24270132360747249,0.23657534246575343,0.23640597178468703,1.0
27,3.7540920499110326,3.8003159062615754,3.773413156640941,0.3461413331963494,0.3089041095890411,0.3283111902479112,0.24703344120819848,0.2406849315068493,0.24928092042186,0.24266707761853393,0.24452054794520547,0.23941925763594027,1.0
28,3.7197896091177993,3.7486880729938377,3.7394402684836554,0.35105563260903067,0.31205479452054796,0.3229694562388714,0.24836903477680178,0.2452054794520548,0.24941788796055334,0.24650262837965103,0.25452054794520546,0.24804821257362006,1.0
29,3.6906581934883085,3.7400382305013724,3.726114840343081,0.3548226913922707,0.32273972602739726,0.32872209286399123,0.2509374839471927,0.25273972602739725,0.25311601150527324,0.24730740911970686,0.26,0.2532529790439666,1.0
30,3.656233035841363,3.75478222452361,3.735504692998426,0.3537953117241143,0.3273972602739726,0.32516093685796466,0.25408811492953887,0.243013698630137,0.25078756334748664,0.25203335559322615,0.24808219178082191,0.24941788796055334,1.0
