epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,4.733043052933433,4.7320499853654345,4.730393350124359,0.0075,0.007857142857142858,0.007166666666666667
2,4.725926312533292,4.731055173006925,4.73078332344691,0.012053571428571429,0.005357142857142857,0.008833333333333334
3,4.723649566823786,4.730693643743342,4.729290246963501,0.011607142857142858,0.01,0.008
4,4.720793333920565,4.731426672501997,4.730577210585277,0.011875,0.005357142857142857,0.009
5,4.718607707457109,4.731911052357066,4.730117122332255,0.011428571428571429,0.007857142857142858,0.008
6,4.71425951610912,4.732759475708008,4.733783423900604,0.014553571428571428,0.0064285714285714285,0.008333333333333333
7,4.704527378082275,4.739760268818248,4.740449210007985,0.01660714285714286,0.008928571428571428,0.006166666666666667
8,4.6886867393146865,4.754718433726918,4.75531667470932,0.018035714285714287,0.008928571428571428,0.0095
9,4.669948642904108,4.772232402454723,4.7736631234486895,0.023482142857142858,0.010714285714285714,0.008166666666666666
10,4.652795173905113,4.782018184661865,4.780741016070048,0.023839285714285716,0.009642857142857142,0.008666666666666666
11,4.632708874615756,4.792227354916659,4.792011499404907,0.02794642857142857,0.012142857142857143,0.010333333333333333
12,4.613691394979304,4.811368031935259,4.8063668211301165,0.029285714285714286,0.010714285714285714,0.009666666666666667
13,4.596047791567716,4.823014042594216,4.8191752632459,0.03366071428571429,0.010714285714285714,0.009666666666666667
14,4.5767339359630235,4.848452351310036,4.842227041721344,0.03553571428571429,0.011785714285714287,0.009666666666666667
15,4.559046225114302,4.858198946172541,4.851708670457204,0.03767857142857143,0.01107142857142857,0.010166666666666666
16,4.543198802254417,4.8716092543168505,4.863406042257945,0.03857142857142857,0.011785714285714287,0.0105
17,4.5266852812333545,4.884303136305376,4.878398199876149,0.04258928571428571,0.01107142857142857,0.009666666666666667
18,4.506677865982056,4.898960503664884,4.888835668563843,0.041875,0.011785714285714287,0.011
19,4.491920200261203,4.9025704643943095,4.891685763994853,0.04258928571428571,0.012142857142857143,0.013
20,4.4707922827113755,4.922113765369762,4.911472340424855,0.048125,0.013928571428571429,0.012666666666666666
21,4.45057767087763,4.940505114468661,4.926925182342529,0.05035714285714286,0.013571428571428571,0.011833333333333333
22,4.430362278764898,4.956089323217219,4.948424756526947,0.05178571428571429,0.013928571428571429,0.015666666666666666
23,4.405561793934215,4.97258286042647,4.964530885219574,0.05526785714285714,0.013571428571428571,0.013833333333333333
