run_id,depth,schedule,seed,checkpoint_label,epoch,train_acc,val_acc,test_acc_at_best_val_if_applicable,block_index,block_type,erank_before,erank_after,delta_erank,relative_delta_erank,is_attention,is_mlp
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,0,A,1.0000000000000404,68.38281142605405,67.382811426054,67.38281142605128,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,1,M,68.38281142605405,68.04537686258959,-0.33743456346445555,-0.004934493865162906,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,2,M,68.04537686258959,67.75857133188569,-0.28680553070390147,-0.004214915750750779,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,3,A,67.75857133188569,76.9570820488061,9.19851071692041,0.13575420107170696,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,4,M,76.9570820488061,76.19859536726307,-0.7584866815430331,-0.009855969864631843,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,5,A,76.19859536726307,78.07879176878704,1.8801964015239747,0.0246749483039914,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,6,A,78.07879176878704,79.0991231878735,1.0203314190864603,0.013067971416718956,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,random_init,0,,,,7,M,79.0991231878735,78.5853529828966,-0.5137702049769075,-0.006495270544992241,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,0,A,1.0000000000000444,6.996501592430173,5.996501592430128,5.996501592429862,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,1,M,6.996501592430173,6.400022756719982,-0.5964788357101911,-0.08525386978480047,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,2,M,6.400022756719982,6.271656390228651,-0.12836636649133037,-0.02005717344622666,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,3,A,6.271656390228651,6.7174852724840965,0.44582888225544526,0.07108630551731984,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,4,M,6.7174852724840965,6.394887165761921,-0.32259810672217526,-0.048023641829717016,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,5,A,6.394887165761921,7.692521571469291,1.2976344057073694,0.2029174826813011,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,6,A,7.692521571469291,13.474247197666104,5.781725626196813,0.7516034336049953,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,best_val,2750,1.0,1.0,1.0,7,M,13.474247197666104,20.30044902723012,6.826201829564015,0.50661099870176,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,0,A,1.000000000000039,1.7875402771639866,0.7875402771639475,0.7875402771639167,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,1,M,1.7875402771639866,1.7148025423732436,-0.07273773479074297,-0.04069152215475932,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,2,M,1.7148025423732436,1.6714782468548204,-0.043324295518423206,-0.025264888783325147,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,3,A,1.6714782468548204,3.235993390079503,1.5645151432246827,0.9360068826313429,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,4,M,3.235993390079503,3.8523027203362936,0.6163093302567906,0.19045444658391247,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,5,A,3.8523027203362936,7.286820424199805,3.434517703863511,0.8915492766787779,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,6,A,7.286820424199805,6.4765280142237005,-0.8102924099761042,-0.11119972262320238,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,final,50000,0.5969321148825065,0.4595300261096606,,7,M,6.4765280142237005,14.54833631569524,8.071808301471538,1.2463172063402328,0,1
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,first_train_acc_ge_0.99,200,0.9967362924281984,0.005221932114882507,,0,A,1.000000000000039,26.72012641948856,25.720126419488523,25.720126419487517,1,0
depth4_bal_AMMAMAAM,4,AMMAMAAM,0,first_train_acc_ge_0.99,200,0.9967362924281984,0.005221932114882507,,1,M,26.72012641948856,17.30016629774916,-9.4199601217394,-0.3525417497601684,0,1
