run_name,variant,seed,epoch,step,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,best_val_acc_so_far,learning_rate,weight_decay,elapsed_time_seconds
freeze_A0_M0_seed0,freeze_A0_M0,0,1,12,4.7410978476206465,4.744816144307454,4.7415081432887485,0.007506527415143603,0.007832898172323759,0.007271506879964202,0.007832898172323759,0.0003,1.0,1.392930269241333
freeze_A0_M0_seed0,freeze_A0_M0,0,25,300,4.07992700735728,5.708406289418538,5.707429477146694,0.07343342036553525,0.0,0.001678040049222508,0.007832898172323759,0.0003,1.0,9.841105937957764
freeze_A0_M0_seed0,freeze_A0_M0,0,50,600,2.733069141705831,7.971052169799805,7.963047736031669,0.30221932114882505,0.005221932114882507,0.0019017787224521758,0.007832898172323759,0.0003,1.0,16.139750242233276
freeze_A0_M0_seed0,freeze_A0_M0,0,75,900,0.9491229206323624,12.473257064819336,12.457306970868792,0.7934073107049608,0.0039164490861618795,0.0031323414252153485,0.007832898172323759,0.0003,1.0,20.180815935134888
freeze_A0_M0_seed0,freeze_A0_M0,0,100,1200,0.29875312000513077,14.76352055867513,14.709035083225794,0.9859660574412533,0.006527415143603133,0.003691688108289518,0.007832898172323759,0.0003,1.0,25.68011164665222
freeze_A0_M0_seed0,freeze_A0_M0,0,125,1500,0.14453547882537046,15.027037938435873,14.888426453726632,0.9996736292428199,0.005221932114882507,0.004139165454748853,0.007832898172323759,0.0003,1.0,32.530522108078
freeze_A0_M0_seed0,freeze_A0_M0,0,150,1800,0.13168503157794476,14.423798243204752,14.339363942827497,1.0,0.006527415143603133,0.00402729611813402,0.007832898172323759,0.0003,1.0,40.017393350601196
freeze_A0_M0_seed0,freeze_A0_M0,0,175,2100,0.10689485818147659,14.439988454182943,14.287554795401437,1.0,0.005221932114882507,0.004139165454748853,0.007832898172323759,0.0003,1.0,47.143272161483765
freeze_A0_M0_seed0,freeze_A0_M0,0,200,2400,0.21113266795873642,13.918718655904135,13.844551004682268,0.9879242819843342,0.006527415143603133,0.004362904127978521,0.007832898172323759,0.0003,1.0,54.87059164047241
freeze_A0_M0_seed0,freeze_A0_M0,0,225,2700,0.08593082862595718,14.08588981628418,13.931775856018067,1.0,0.0026109660574412533,0.0045866428012081885,0.007832898172323759,0.0003,1.0,63.52354335784912
freeze_A0_M0_seed0,freeze_A0_M0,0,250,3000,0.3233274171749751,13.875546137491861,13.812483133588518,0.9448433420365535,0.0026109660574412533,0.004362904127978521,0.007832898172323759,0.0003,1.0,69.55006074905396
freeze_A0_M0_seed0,freeze_A0_M0,0,275,3300,0.07184382217625777,13.957387924194336,13.757268823896135,1.0,0.0026109660574412533,0.004474773464593355,0.007832898172323759,0.0003,1.0,75.27274632453918
freeze_A0_M0_seed0,freeze_A0_M0,0,300,3600,0.06263186689466238,14.287331263224283,14.081319236755371,1.0,0.0026109660574412533,0.004810381474437857,0.007832898172323759,0.0003,1.0,81.16923975944519
freeze_A0_M0_seed0,freeze_A0_M0,0,325,3900,0.06308364061017831,13.919436772664389,13.770553043910436,1.0,0.0039164490861618795,0.005705336167356527,0.007832898172323759,0.0003,1.0,88.82743906974792
freeze_A0_M0_seed0,freeze_A0_M0,0,350,4200,0.058177190211912,13.811065673828125,13.605542755126953,1.0,0.0026109660574412533,0.005369728157512026,0.007832898172323759,0.0003,1.0,96.01214575767517
freeze_A0_M0_seed0,freeze_A0_M0,0,375,4500,0.051089380867779255,14.220826784769693,13.989139202662876,1.0,0.0026109660574412533,0.0050341201476675245,0.007832898172323759,0.0003,1.0,102.80621790885925
freeze_A0_M0_seed0,freeze_A0_M0,0,400,4800,0.09389017584423225,14.742712338765463,14.487841388157436,0.9902088772845953,0.0013054830287206266,0.005929074840586196,0.007832898172323759,0.0003,1.0,108.6893424987793
freeze_A0_M0_seed0,freeze_A0_M0,0,425,5100,0.048273343592882156,13.5472043355306,13.34815137045724,1.0,0.0026109660574412533,0.007159637543349368,0.007832898172323759,0.0003,1.0,117.73901963233948
freeze_A0_M0_seed0,freeze_A0_M0,0,450,5400,0.04653626245756944,13.873545010884603,13.646025930132184,1.0,0.0026109660574412533,0.0064884215236603645,0.007832898172323759,0.0003,1.0,124.6464569568634
freeze_A0_M0_seed0,freeze_A0_M0,0,475,5700,0.04019978611419598,14.33667246500651,14.075005231584822,1.0,0.0026109660574412533,0.006152813513815863,0.007832898172323759,0.0003,1.0,130.98482608795166
freeze_A0_M0_seed0,freeze_A0_M0,0,500,6000,0.03979518388708433,13.674111684163412,13.508096177237375,1.0,0.0026109660574412533,0.007159637543349368,0.007832898172323759,0.0003,1.0,136.9536099433899
freeze_A0_M0_seed0,freeze_A0_M0,0,525,6300,0.043447427451610565,13.622113863627115,13.398918124607631,1.0,0.0026109660574412533,0.007607114889808703,0.007832898172323759,0.0003,1.0,143.65213775634766
freeze_A0_M0_seed0,freeze_A0_M0,0,550,6600,0.03833455964922905,14.077476183573404,13.824952343532017,1.0,0.0039164490861618795,0.007383376216579036,0.007832898172323759,0.0003,1.0,150.0973024368286
freeze_A0_M0_seed0,freeze_A0_M0,0,575,6900,0.7833455726504326,14.075316429138184,13.938360677446639,0.7901436031331592,0.0013054830287206266,0.007942722899653205,0.007832898172323759,0.0003,1.0,156.50426030158997
freeze_A0_M0_seed0,freeze_A0_M0,0,600,7200,0.04180892060200373,13.293082555135092,13.07514283316476,1.0,0.0039164490861618795,0.007271506879964202,0.007832898172323759,0.0003,1.0,163.13023495674133
freeze_A0_M0_seed0,freeze_A0_M0,0,625,7500,0.039358590419093765,13.627589225769043,13.360908780779157,1.0,0.0039164490861618795,0.007830853563038372,0.007832898172323759,0.0003,1.0,171.39874720573425
freeze_A0_M0_seed0,freeze_A0_M0,0,650,7800,0.034038364266355835,14.091500600179037,13.803751972743443,1.0,0.005221932114882507,0.007718984226423537,0.007832898172323759,0.0003,1.0,178.1811487674713
freeze_A0_M0_seed0,freeze_A0_M0,0,675,8100,0.02917468687519431,14.524731000264486,14.221683066231863,1.0,0.005221932114882507,0.007495245553193869,0.007832898172323759,0.0003,1.0,184.20363068580627
freeze_A0_M0_seed0,freeze_A0_M0,0,700,8400,0.974904827773571,14.503353436787924,14.39867455618722,0.7604438642297651,0.006527415143603133,0.00839020024611254,0.007832898172323759,0.0003,1.0,190.05342030525208
freeze_A0_M0_seed0,freeze_A0_M0,0,725,8700,0.04064726270735264,13.159955342610678,12.920134108407156,1.0,0.0039164490861618795,0.00894954692918671,0.007832898172323759,0.0003,1.0,196.19064474105835
freeze_A0_M0_seed0,freeze_A0_M0,0,750,9000,0.03784296568483114,13.470953941345215,13.21449454171317,1.0,0.0039164490861618795,0.008502069582727374,0.007832898172323759,0.0003,1.0,202.96334433555603
