run_name,variant,seed,freeze_A0,freeze_M0,epoch,checkpoint_label,train_acc,val_acc,test_acc_at_best_val_if_applicable,layer,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,0,random_init,,,,0,1.000000000000049,68.66918120645008,65.42983179968216,67.66918120645003,-3.2393494067679143
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,0,random_init,,,,1,65.42983179968216,74.28322631032599,69.7306437692787,8.853394510643824,-4.552582541047286
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,0,random_init,,,,2,69.7306437692787,71.52538581245105,67.12578458107534,1.7947420431723486,-4.399601231375712
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,100,first_train_acc_ge_0.99,0.9977154046997389,0.0039164490861618795,,0,1.0000000000000324,61.39103372458083,57.760046650548404,60.391033724580794,-3.6309870740324257
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,100,first_train_acc_ge_0.99,0.9977154046997389,0.0039164490861618795,,1,57.760046650548404,38.582484892542695,22.569330573796083,-19.17756175800571,-16.01315431874661
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,100,first_train_acc_ge_0.99,0.9977154046997389,0.0039164490861618795,,2,22.569330573796083,46.0262310170291,84.1421402788356,23.456900443233014,38.1159092618065
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,100,periodic_full,0.9977154046997389,0.0039164490861618795,,0,1.0000000000000324,61.39103372458083,57.760046650548404,60.391033724580794,-3.6309870740324257
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,100,periodic_full,0.9977154046997389,0.0039164490861618795,,1,57.760046650548404,38.582484892542695,22.569330573796083,-19.17756175800571,-16.01315431874661
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,100,periodic_full,0.9977154046997389,0.0039164490861618795,,2,22.569330573796083,46.0262310170291,84.1421402788356,23.456900443233014,38.1159092618065
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,200,periodic_full,1.0,0.005221932114882507,,0,1.000000000000036,56.393310322228636,52.91739530782411,55.3933103222286,-3.475915014404528
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,200,periodic_full,1.0,0.005221932114882507,,1,52.91739530782411,30.421154698122603,18.515314029713483,-22.496240609701506,-11.90584066840912
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,200,periodic_full,1.0,0.005221932114882507,,2,18.515314029713483,41.7266352487161,82.22862355924264,23.211321219002617,40.501988310526535
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,300,periodic_full,1.0,0.005221932114882507,,0,1.0000000000000442,50.69815361251676,47.57366801134186,49.69815361251672,-3.1244856011749036
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,300,periodic_full,1.0,0.005221932114882507,,1,47.57366801134186,25.640155543835938,16.973545401782957,-21.93351246750592,-8.666610142052981
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,300,periodic_full,1.0,0.005221932114882507,,2,16.973545401782957,39.46864628597494,80.53100866781897,22.495100884191984,41.062362381844025
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,400,periodic_full,1.0,0.0039164490861618795,,0,1.0000000000000464,45.12284401915262,42.46520868644412,44.12284401915257,-2.6576353327085016
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,400,periodic_full,1.0,0.0039164490861618795,,1,42.46520868644412,22.642802985684,15.936565716546008,-19.82240570076012,-6.706237269137992
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,400,periodic_full,1.0,0.0039164490861618795,,2,15.936565716546008,37.81143284598328,78.34970572011198,21.874867129437277,40.5382728741287
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,500,periodic_full,1.0,0.0039164490861618795,,0,1.0000000000000382,40.3479377031612,38.16814060448274,39.347937703161165,-2.1797970986784634
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,500,periodic_full,1.0,0.0039164490861618795,,1,38.16814060448274,20.73076015558211,15.241680794802448,-17.437380448900626,-5.489079360779662
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,500,periodic_full,1.0,0.0039164490861618795,,2,15.241680794802448,36.73870437111612,76.11819362730509,21.497023576313673,39.37948925618897
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,600,periodic_full,0.8234334203655352,0.006527415143603133,,0,1.0000000000000313,37.04936756175654,35.2785909362945,36.04936756175651,-1.770776625462041
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,600,periodic_full,0.8234334203655352,0.006527415143603133,,1,35.2785909362945,20.160996013455687,15.752029490116975,-15.117594922838812,-4.408966523338712
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,600,periodic_full,0.8234334203655352,0.006527415143603133,,2,15.752029490116975,38.002227170588505,78.14129016744954,22.25019768047153,40.139062996861036
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,700,periodic_full,1.0,0.0039164490861618795,,0,1.000000000000033,34.45559594716689,32.98688184095395,33.455595947166856,-1.4687141062129427
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,700,periodic_full,1.0,0.0039164490861618795,,1,32.98688184095395,19.30505932517834,15.20905789909157,-13.681822515775607,-4.0960014260867705
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,700,periodic_full,1.0,0.0039164490861618795,,2,15.20905789909157,37.25399650340957,77.92930419092698,22.044938604318,40.67530768751742
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,800,periodic_full,1.0,0.006527415143603133,,0,1.0000000000000377,32.636061006480794,31.360907219353027,31.636061006480755,-1.275153787127767
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,800,periodic_full,1.0,0.006527415143603133,,1,31.360907219353027,18.709695444874328,14.86597054862672,-12.6512117744787,-3.8437248962476076
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,800,periodic_full,1.0,0.006527415143603133,,2,14.86597054862672,36.59461869261237,76.44650718393828,21.72864814398565,39.85188849132591
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,900,periodic_full,0.9993472584856397,0.007832898172323759,,0,1.0000000000000322,31.44439443275134,30.298168785030875,30.44439443275131,-1.1462256477204669
freeze_A0_M0_seed1,freeze_A0_M0,1,1,1,900,periodic_full,0.9993472584856397,0.007832898172323759,,1,30.298168785030875,18.28008586982104,14.821421487513625,-12.018082915209835,-3.458664382307415
