run_id,depth,schedule,epoch,step,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc,best_val_acc_so_far,learning_rate,weight_decay,elapsed_time_seconds
depth3_bal_MAMAMA,3,MAMAMA,1,12,4.736603021621704,4.736747582753499,4.73443193435669,0.008485639686684074,0.009138381201044387,0.007271506879964202,0.009138381201044387,0.0003,1.0,0.8096063137054443
depth3_bal_MAMAMA,3,MAMAMA,25,300,4.243572394053142,5.517117023468018,5.482041876656669,0.05189295039164491,0.0013054830287206266,0.0032442107618301822,0.009138381201044387,0.0003,1.0,7.111168146133423
depth3_bal_MAMAMA,3,MAMAMA,50,600,3.3033230900764465,6.865397612253825,6.895653397696359,0.1866840731070496,0.005221932114882507,0.0022373867322966774,0.009138381201044387,0.0003,1.0,12.615435361862183
depth3_bal_MAMAMA,3,MAMAMA,75,900,2.4829723636309304,8.422154426574707,8.468358584812709,0.3560704960835509,0.0013054830287206266,0.0030204720886005147,0.009138381201044387,0.0003,1.0,21.029109477996826
depth3_bal_MAMAMA,3,MAMAMA,100,1200,1.7812493046124775,9.56209405263265,9.563367107936314,0.5287206266318538,0.0026109660574412533,0.003356080098445016,0.009138381201044387,0.0003,1.0,29.901874780654907
depth3_bal_MAMAMA,3,MAMAMA,125,1500,1.491327295700709,9.818390528361002,9.877954701014927,0.6077023498694517,0.0026109660574412533,0.004362904127978521,0.009138381201044387,0.0003,1.0,36.482157707214355
depth3_bal_MAMAMA,3,MAMAMA,150,1800,1.1223405102888744,10.322290420532227,10.379413414001466,0.7513054830287206,0.0039164490861618795,0.004362904127978521,0.009138381201044387,0.0003,1.0,41.60473966598511
depth3_bal_MAMAMA,3,MAMAMA,175,2100,0.736827145020167,11.367804527282715,11.175095285688128,0.8929503916449086,0.0013054830287206266,0.005817205503971362,0.009138381201044387,0.0003,1.0,48.46931266784668
depth3_bal_MAMAMA,3,MAMAMA,200,2400,0.6678206026554108,12.68463166554769,12.661602428981237,0.8671671018276762,0.0013054830287206266,0.0045866428012081885,0.009138381201044387,0.0003,1.0,55.91646647453308
depth3_bal_MAMAMA,3,MAMAMA,225,2700,0.8604344725608826,11.193559646606445,11.155573327200754,0.8152741514360313,0.0013054830287206266,0.0064884215236603645,0.009138381201044387,0.0003,1.0,61.87103009223938
depth3_bal_MAMAMA,3,MAMAMA,250,3000,0.5393225451310476,12.118329683939615,12.170448875427246,0.9102480417754569,0.0026109660574412533,0.0064884215236603645,0.009138381201044387,0.0003,1.0,68.4576005935669
depth3_bal_MAMAMA,3,MAMAMA,275,3300,0.31741666545470554,12.930874188741049,12.909792137145995,0.9745430809399478,0.0013054830287206266,0.0069358988701197005,0.009138381201044387,0.0003,1.0,73.57948851585388
depth3_bal_MAMAMA,3,MAMAMA,300,3600,0.33329348762830097,12.40881633758545,12.434980119977679,0.9765013054830287,0.005221932114882507,0.007495245553193869,0.009138381201044387,0.0003,1.0,79.64148712158203
depth3_bal_MAMAMA,3,MAMAMA,325,3900,0.3116593187053998,12.924908002217611,12.862781034197127,0.966710182767624,0.005221932114882507,0.007383376216579036,0.009138381201044387,0.0003,1.0,85.72326827049255
depth3_bal_MAMAMA,3,MAMAMA,350,4200,0.177293810993433,12.906597455342611,12.71831942967006,0.9986945169712794,0.0039164490861618795,0.007159637543349368,0.009138381201044387,0.0003,1.0,92.86116647720337
depth3_bal_MAMAMA,3,MAMAMA,375,4500,0.1476379024485747,13.12168025970459,12.921161024911063,0.9983681462140992,0.005221932114882507,0.008166461572882873,0.009138381201044387,0.0003,1.0,99.83029794692993
depth3_bal_MAMAMA,3,MAMAMA,400,4800,0.23963592698176703,13.252120971679688,13.176233564104352,0.9771540469973891,0.005221932114882507,0.008725808255957042,0.009138381201044387,0.0003,1.0,105.90726208686829
depth3_bal_MAMAMA,3,MAMAMA,425,5100,0.1011871633430322,13.451418240865072,13.255024365016393,1.0,0.0039164490861618795,0.007942722899653205,0.009138381201044387,0.0003,1.0,111.31783151626587
