run_name,variant,seed,epoch,checkpoint_label,train_acc,val_acc,sum_delta_attn,sum_delta_mlp,final_rep_erank,layer0_delta_mlp,layer1_delta_mlp,layer2_delta_mlp,layer0_delta_attn,layer1_delta_attn,layer2_delta_attn
freeze_A0_M0_seed2,freeze_A0_M0,2,0,random_init,,,78.3517821138311,-12.143045422972747,67.2087366908584,-3.438255558204361,-4.671781827255899,-4.033008037512488,66.58741665696664,8.812433742903565,2.951931713960903
freeze_A0_M0_seed2,freeze_A0_M0,2,100,periodic_full,0.9425587467362925,0.0026109660574412533,58.10942037733242,24.24275617740694,83.35217655473939,-4.010875405171852,-15.406334195079083,43.659965777657874,58.92654853932047,-18.1724758907745,17.355347728786448
freeze_A0_M0_seed2,freeze_A0_M0,2,125,first_train_acc_ge_0.99,1.0,0.005221932114882507,56.46507520281175,25.602930203441208,83.068005406253,-4.026091273411595,-14.545928314540578,44.17494979139338,57.8418268742732,-19.61514669285581,18.23839502139435
freeze_A0_M0_seed2,freeze_A0_M0,2,200,periodic_full,0.9536553524804178,0.0026109660574412533,50.46358388408709,30.880632514107035,82.34421639819418,-3.929778065372645,-11.20621764394496,46.01662822342464,53.98849310899148,-21.063097686845623,17.53818846194124
freeze_A0_M0_seed2,freeze_A0_M0,2,300,periodic_full,1.0,0.005221932114882507,45.17790744760148,33.96619186554869,80.1440993131502,-3.62707977346156,-8.406930673777225,46.00020231278747,48.6712010855679,-20.732825700987487,17.239532063021063
freeze_A0_M0_seed2,freeze_A0_M0,2,400,periodic_full,1.0,0.0039164490861618795,41.90126032131526,37.75129974842217,80.65256006973748,-3.154597840105666,-6.168987274388609,47.07488486291645,43.37530515668208,-18.71840433711758,17.244359501750758
freeze_A0_M0_seed2,freeze_A0_M0,2,500,periodic_full,0.956266318537859,0.0013054830287206266,39.65263335438425,38.43445889757517,79.08709225195946,-2.6658836385096834,-4.7982802340538555,45.89862277013871,38.88562896750126,-16.47472087188417,17.241725258767158
freeze_A0_M0_seed2,freeze_A0_M0,2,600,periodic_full,0.8116840731070496,0.007832898172323759,38.02003819528372,37.95322848952903,76.97326668481278,-2.220327168915631,-4.078780956553517,44.25233661499818,35.31054698660397,-14.398309255034075,17.10780046371383
freeze_A0_M0_seed2,freeze_A0_M0,2,700,periodic_full,1.0,0.007832898172323759,35.85352924380519,34.65050942283591,71.50403866664115,-1.8967612371756033,-3.9721394031033483,40.51941006311486,32.42491775645341,-12.987437891993167,16.416049379344948
freeze_A0_M0_seed2,freeze_A0_M0,2,800,periodic_full,1.0,0.006527415143603133,35.2868343317637,34.8039010041946,71.09073533595834,-1.6781749616584563,-3.71106379988084,40.193139765733896,30.81342779140872,-11.974758383732748,16.44816492408773
freeze_A0_M0_seed2,freeze_A0_M0,2,900,periodic_full,1.0,0.006527415143603133,34.79041888991097,34.78089513232529,70.5713140222363,-1.5181971834036148,-3.52324886178382,39.822341177512726,29.687891997464597,-11.363742269224222,16.46626916167059
freeze_A0_M0_seed2,freeze_A0_M0,2,1000,periodic_full,1.0,0.007832898172323759,34.349866197191076,34.80436928619858,70.1542354833897,-1.432799598961541,-3.3390915630957725,39.576260448255894,28.865079609173375,-10.98156742528127,16.466354013298968
freeze_A0_M0_seed2,freeze_A0_M0,2,1100,periodic_full,1.0,0.006527415143603133,34.147060437741665,35.63954405587903,70.78660449362073,-1.395938473842424,-3.1583220396947773,40.19380456941623,28.33048152257237,-10.69983913919393,16.516418054363225
freeze_A0_M0_seed2,freeze_A0_M0,2,1200,periodic_full,1.0,0.006527415143603133,33.99092274453136,36.69275320138189,71.68367594591328,-1.3830823529783487,-3.0214073723424093,41.09724292670265,27.9837537756255,-10.497679309170639,16.504848278076494
freeze_A0_M0_seed2,freeze_A0_M0,2,1300,periodic_full,1.0,0.0039164490861618795,34.262835909588304,39.21560365638081,74.47843956596914,-1.4112363537502581,-2.8595532041755227,43.48639321430659,27.99450123044778,-10.479754891153767,16.748089570294287
