run_id,depth,schedule,seed,epoch,relative_epoch_to_tau,train_acc,val_acc,checkpoint_label,final_rep_erank,sum_delta_A,sum_delta_M,mean_delta_A,mean_delta_M,max_positive_delta_block_index,max_negative_delta_block_index
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,0,-1975,,,random_init,78.62508378434195,78.97946266019838,-1.3543788758564705,19.744865665049595,-0.33859471896411764,1,7
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,175,-1800,0.9986945169712794,0.006527415143603133,first_train_acc_ge_0.99,78.83268460551587,45.24099345600374,32.59169114951208,11.310248364000937,8.14792278737802,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,1000,,1.0,0.007832898172323759,periodic,72.0266843891087,31.333381754003952,39.6933026351047,7.833345438500988,9.923325658776175,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,1500,-475,1.0,0.0587467362924282,first_val_acc_ge_0.05,67.4745190138359,29.88468767666874,36.58983133716711,7.471171919167185,9.147457834291778,7,5
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,1675,-300,1.0,0.26762402088772846,first_val_acc_ge_0.25,55.403761237687384,26.56869233810081,27.835068899586535,6.6421730845252025,6.958767224896634,7,5
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,1800,-175,1.0,0.5195822454308094,first_val_acc_ge_0.50,45.51531915470023,23.146659087291393,21.368660067408793,5.786664771822848,5.342165016852198,7,5
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,1900,-75,1.0,0.9242819843342036,first_val_acc_ge_0.75,35.28952702397602,19.17489260503921,15.11463441893677,4.793723151259803,3.7786586047341926,7,5
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,1975,0,1.0,0.9673629242819843,first_val_acc_ge_0.95,29.33280326779405,15.523552805798047,12.809250461995953,3.880888201449512,3.2023126154989883,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,2000,25,1.0,0.9778067885117493,periodic,26.960801172557257,14.724006146836855,11.236795025720362,3.6810015367092137,2.8091987564300904,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,2625,650,1.0,1.0,best_val,12.570595394663979,8.009672961332528,3.560922433331405,2.002418240333132,0.8902306083328513,6,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,3000,1025,1.0,0.9973890339425587,periodic,12.464063200810923,7.3454042828389206,4.118658917971967,1.8363510707097301,1.0296647294929917,6,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,4000,2025,0.5137075718015666,0.48825065274151436,periodic,16.159188301066102,8.303670191423908,6.855518109642158,2.075917547855977,1.7138795274105394,7,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,5000,3025,1.0,1.0,periodic,15.534968118415577,7.428069726937904,7.106898391477634,1.857017431734476,1.7767245978694084,7,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,6000,4025,1.0,1.0,periodic,15.889035680826437,6.963414091389172,7.925621589437227,1.740853522847293,1.9814053973593067,7,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,7000,5025,1.0,0.9986945169712794,periodic,15.008113942378378,6.7473678861196404,7.260746056258703,1.6868419715299101,1.8151865140646757,7,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,8000,6025,1.0,1.0,periodic,14.684175820122789,7.049639515979924,6.634536304142822,1.762409878994981,1.6586340760357055,7,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,9000,7025,1.0,0.9986945169712794,periodic,14.618288589222686,6.878995855267505,6.739292733955141,1.7197489638168761,1.6848231834887852,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,10000,8025,1.0,0.9986945169712794,periodic,14.466855683723917,6.730240121915126,6.736615561808751,1.6825600304787816,1.6841538904521878,7,3
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,11000,9025,1.0,1.0,periodic,14.443055334442322,6.688225989941934,6.754829344500346,1.6720564974854835,1.6887073361250864,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,12000,10025,1.0,1.0,periodic,14.042914705271825,6.427601853388991,6.615312851882798,1.6069004633472477,1.6538282129706996,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,13000,11025,1.0,1.0,periodic,11.991763365677208,6.244662386723213,4.747100978953954,1.5611655966808033,1.1867752447384885,1,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,14000,12025,0.17297650130548303,0.07180156657963446,periodic,13.8606590946297,4.476165350530106,8.38449374409955,1.1190413376325266,2.0961234360248877,7,4
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,15000,13025,0.15600522193211488,0.0835509138381201,periodic,16.416065358378827,5.117530346690978,10.29853501168781,1.2793825866727444,2.5746337529219523,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,16000,14025,0.3097258485639687,0.17362924281984335,periodic,18.45848222240745,3.764801431055208,13.693680791352204,0.941200357763802,3.423420197838051,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,17000,15025,0.22845953002610966,0.13446475195822455,periodic,11.268899350325045,4.96949487180065,5.299404478524359,1.2423737179501626,1.3248511196310897,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,18000,16025,0.3629242819843342,0.19712793733681463,periodic,19.31532143620929,4.33098293191689,13.984338504292362,1.0827457329792225,3.4960846260730905,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,19000,17025,0.4151436031331593,0.24412532637075718,periodic,23.09923168212583,3.325837978989185,18.7733937031366,0.8314594947472963,4.69334842578415,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,20000,18025,0.45593994778067887,0.27676240208877284,periodic,21.07157541235819,3.144071676959239,16.92750373539891,0.7860179192398098,4.231875933849728,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,21000,19025,0.266644908616188,0.2193211488250653,periodic,22.4318267026503,3.694013646443521,17.737813056206743,0.9235034116108802,4.434453264051686,7,0
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,22000,20025,0.25946475195822455,0.15535248041775457,periodic,15.328603494710869,6.523384308618708,7.805219186092126,1.630846077154677,1.9513047965230315,7,5
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,23000,21025,0.45593994778067887,0.3224543080939948,periodic,15.76864540678436,4.603051426825531,10.16559397995879,1.1507628567063828,2.5413984949896977,7,5
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,24000,22025,0.4464751958224543,0.33159268929503916,periodic,18.226939569538565,5.43824679787243,11.788692771666096,1.3595616994681075,2.947173192916524,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,25000,23025,0.46736292428198434,0.34856396866840733,periodic,17.990686237524205,5.776390412424927,11.214295825099237,1.4440976031062318,2.803573956274809,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,26000,24025,0.6843994778067886,0.5195822454308094,periodic,14.742017105619224,3.3972461387422346,10.34477096687695,0.8493115346855586,2.5861927417192376,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,27000,25025,0.7581592689295039,0.6214099216710183,periodic,13.88254645618517,2.400076130686944,10.482470325498191,0.6000190326717361,2.620617581374548,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,28000,26025,0.7294386422976501,0.5456919060052219,periodic,13.83764818995302,2.4679499925881263,10.369698197364858,0.6169874981470316,2.5924245493412146,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,29000,27025,0.7203002610966057,0.48433420365535246,periodic,14.17381537320974,2.461692571110217,10.712122802099485,0.6154231427775543,2.678030700524871,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,30000,28025,0.7402088772845953,0.6005221932114883,periodic,14.56486661138198,2.4881607050197516,11.076705906362193,0.6220401762549379,2.769176476590548,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,31000,29025,0.7705613577023499,0.6579634464751958,periodic,15.18034077563201,2.6775503740652016,11.502790401566779,0.6693875935163004,2.8756976003916948,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,32000,30025,0.6579634464751958,0.5509138381201044,periodic,15.723910327766735,2.6219517004480664,12.101958627318634,0.6554879251120166,3.0254896568296585,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,33000,31025,0.33779373368146215,0.2310704960835509,periodic,5.3241249182752,6.38048183478241,-2.056356916507255,1.5951204586956023,-0.5140892291268138,6,7
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,34000,32025,0.577023498694517,0.44778067885117495,periodic,16.697658775994572,5.562407916982985,10.135250859011547,1.3906019792457462,2.533812714752887,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,35000,33025,0.631201044386423,0.5065274151436031,periodic,16.153949545472056,3.9058933004573575,11.248056245014661,0.9764733251143394,2.8120140612536653,7,2
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,36000,34025,0.6984334203655352,0.5783289817232375,periodic,17.383428848258372,2.8614624486482843,13.521966399610038,0.7153656121620711,3.3804915999025096,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,37000,35025,0.668733681462141,0.5535248041775457,periodic,18.723591343896647,2.7897960794559697,14.933795264440638,0.6974490198639924,3.7334488161101596,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,38000,36025,0.756201044386423,0.5691906005221932,periodic,18.315273839081463,2.628063857992462,14.687209981088957,0.6570159644981156,3.6718024952722392,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,39000,37025,0.7147519582245431,0.5587467362924282,periodic,18.5872003798832,2.649791372980569,14.937409006902593,0.6624478432451423,3.7343522517256487,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,40000,38025,0.758485639686684,0.5156657963446475,periodic,18.293667054580535,2.587862480466403,14.705804574114094,0.6469656201166006,3.6764511435285234,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,41000,39025,0.6736292428198434,0.54177545691906,periodic,18.72186829909446,2.608714000133741,15.113154298960684,0.6521785000334352,3.778288574740171,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,42000,40025,0.7535900783289817,0.5300261096605744,periodic,18.90371066743749,2.322187449311833,15.581523218125614,0.5805468623279583,3.8953808045314036,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,43000,41025,0.6700391644908616,0.4608355091383812,periodic,18.85069274362546,2.3708262970757734,15.47986644654965,0.5927065742689434,3.8699666116374125,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,44000,42025,0.6641644908616188,0.5548302872062664,periodic,19.10748069709377,2.495078203644691,15.612402493449043,0.6237695509111727,3.9031006233622607,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,45000,43025,0.7405352480417755,0.5913838120104439,periodic,19.17666365480309,2.5541358355635224,15.622527819239528,0.6385339588908807,3.905631954809882,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,46000,44025,0.6455613577023499,0.49477806788511747,periodic,19.26469920621545,2.4880860417712483,15.77661316444416,0.622021510442812,3.94415329111104,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,47000,45025,0.66677545691906,0.4386422976501306,periodic,19.323211637567535,2.487000059963849,15.83621157760365,0.6217500149909623,3.9590528944009122,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,48000,46025,0.6948433420365535,0.5274151436031331,periodic,19.307457472907494,2.3567380242819342,15.950719448625524,0.5891845060704836,3.987679862156381,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,49000,47025,0.7216057441253264,0.4608355091383812,periodic,19.37703647997946,2.389214087323081,15.987822392656337,0.5973035218307703,3.9969555981640843,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,50000,48025,0.79177545691906,0.5639686684073107,final,19.131572103834216,2.322685588607868,15.808886515226305,0.580671397151967,3.9522216288065763,7,6
depth4_bal_MAMAAMAM,4,MAMAAMAM,0,50000,48025,0.79177545691906,0.5639686684073107,periodic,19.131572103834216,2.322685588607868,15.808886515226305,0.580671397151967,3.9522216288065763,7,6
