task,ablation,layer,component,mean_base_test_acc,mean_delta_test_acc,std_delta_test_acc,mean_delta_val_acc,std_delta_val_acc
key_value,layer0_attn,0,attn,1.0,0.716888888888889,0.032761012661657506,0.7145238095238096,0.042335449087414996
key_value,layer0_mlp,0,mlp,1.0,0.9512222222222223,0.015071025262706445,0.9580952380952382,0.013430766453495719
key_value,layer1_attn,1,attn,1.0,0.9659999999999999,0.0023253832818284554,0.9671428571428571,0.006144518047887595
key_value,layer1_mlp,1,mlp,1.0,0.674111111111111,0.05600286588786619,0.6735714285714286,0.03819035743954938
modular_addition,layer0_attn,0,attn,0.9999627102211285,0.909534996457471,0.061042559340916604,0.902088772845953,0.0678432621855331
modular_addition,layer0_mlp,0,mlp,0.9999627102211285,0.9198269754260356,0.038868150945474945,0.9251523063533508,0.047001418129842085
modular_addition,layer1_attn,1,attn,0.9999627102211285,0.9894097028004624,0.0007875121035888504,0.9865100087032203,0.0012308212031097495
modular_addition,layer1_mlp,1,mlp,0.9999627102211285,0.9508893612260879,0.05774914325066185,0.9547432550043515,0.04927898230423697
