run_id,depth,schedule,seed,checkpoint_label,epoch,train_acc,val_acc,test_acc_at_best_val_if_applicable,block_index,block_type,erank_before,erank_after,delta_erank,relative_delta_erank,is_attention,is_mlp
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,0,A,1.0000000000000404,68.38281142605405,67.382811426054,67.38281142605128,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,1,A,68.38281142605405,76.30167282528376,7.918861399229712,0.11580192791272988,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,2,A,76.30167282528376,78.56467093107115,2.262998105787389,0.029658564773137046,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,3,M,78.56467093107115,78.11077963613309,-0.45389129493806024,-0.005777295183178232,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,4,M,78.11077963613309,77.73279235884071,-0.3779872772923767,-0.004839117968776801,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,5,M,77.73279235884071,77.21364683146817,-0.5191455273725438,-0.006678590998969823,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,6,M,77.21364683146817,76.78681777546535,-0.4268290560028163,-0.005527896602713803,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,random_init,0,,,,7,A,76.78681777546535,78.0907810290653,1.303963253599946,0.016981602980512933,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,0,A,1.0000000000000493,8.544057527817031,7.544057527816982,7.5440575278166095,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,1,A,8.544057527817031,7.779567903653137,-0.7644896241638941,-0.08947617940011902,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,2,A,7.779567903653137,7.442073140388159,-0.33749476326497874,-0.04338219904302109,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,3,M,7.442073140388159,8.110050735847446,0.6679775954592877,0.08975692429494825,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,4,M,8.110050735847446,8.50299158432729,0.392940848479844,0.04845109621114896,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,5,M,8.50299158432729,12.787768060813809,4.284776476486519,0.5039139970906494,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,6,M,12.787768060813809,17.859685177057344,5.071917116243535,0.396622545241938,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,best_val,2100,1.0,1.0,0.9947421411791028,7,A,17.859685177057344,25.568658908737117,7.708973731679773,0.43164107627063697,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,final,50000,0.6308746736292428,0.3381201044386423,,0,A,1.0000000000000382,1.3130478741876892,0.313047874187651,0.3130478741876391,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,final,50000,0.6308746736292428,0.3381201044386423,,1,A,1.3130478741876892,1.3002282213989276,-0.012819652788761626,-0.009763279040143485,1,0
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,final,50000,0.6308746736292428,0.3381201044386423,,2,A,1.3002282213989276,1.3728171433483218,0.07258892194939426,0.0558278314181607,1,0
