run_id,depth,schedule,seed,epoch,relative_epoch_to_tau,train_acc,val_acc,checkpoint_label,final_rep_erank,sum_delta_A,sum_delta_M,mean_delta_A,mean_delta_M,max_positive_delta_block_index,max_negative_delta_block_index
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,0,-1950,,,random_init,78.0907810290653,78.86863418467105,-1.777853155605797,19.717158546167763,-0.44446328890144926,0,5
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,200,-1750,0.9986945169712794,0.022193211488250653,first_train_acc_ge_0.99,69.59395350223468,40.03829701461862,28.55565648761602,10.009574253654655,7.138914121904005,0,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,525,-1425,0.9980417754569191,0.05483028720626632,first_val_acc_ge_0.05,65.39025176900645,27.45477115816624,36.93548061084017,6.86369278954156,9.233870152710043,6,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,1000,,1.0,0.09399477806788512,periodic,61.23844513780277,23.96471955206805,36.273725585734674,5.991179888017013,9.068431396433668,6,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,1800,-150,1.0,0.2845953002610966,first_val_acc_ge_0.25,60.817567415802706,24.675428438162264,35.14213897764041,6.168857109540566,8.785534744410102,6,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,1875,-75,1.0,0.5039164490861618,first_val_acc_ge_0.50,48.54381504257548,22.251350657368647,25.29246438520679,5.562837664342162,6.323116096301698,6,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,1900,-50,1.0,0.8224543080939948,first_val_acc_ge_0.75,48.5765798000868,22.83105944748084,24.74552035260592,5.70776486187021,6.18638008815148,6,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,1950,0,1.0,0.9699738903394256,first_val_acc_ge_0.95,35.2869441190851,19.808801382680393,14.478142736404667,4.952200345670098,3.6195356841011668,0,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,2000,50,1.0,0.9947780678851175,periodic,26.706293113577424,16.425356793259166,9.280936320318208,4.106339198314791,2.320234080079552,0,3
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,2100,150,1.0,1.0,best_val,25.568658908737117,14.151046872067882,10.417612036669185,3.5377617180169705,2.6044030091672963,7,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,3000,1050,1.0,0.9960835509138382,periodic,16.96139314111882,7.6521848678659,8.309208273252878,1.913046216966475,2.0773020683132195,6,2
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,4000,2050,1.0,0.9973890339425587,periodic,14.524751673241301,4.593517996743836,8.931233676497426,1.148379499185959,2.2328084191243565,0,7
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,5000,3050,0.97911227154047,0.922976501305483,periodic,12.692001531658915,3.7442513782632547,7.9477501533956305,0.9360628445658137,1.9869375383489076,0,7
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,6000,4050,1.0,0.9412532637075718,periodic,9.459811256367612,1.912773689668982,6.547037566698588,0.4781934224172455,1.636759391674647,0,7
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,7000,5050,0.5176240208877284,0.2859007832898172,periodic,12.490533136577717,5.357012924080797,6.133520212496879,1.3392532310201992,1.5333800531242197,0,1
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,8000,6050,1.0,0.9986945169712794,periodic,7.101328284741253,3.5919761747617156,2.5093521099795018,0.8979940436904288,0.6273380274948754,0,6
depth4_bal_AAAMMMMA,4,AAAMMMMA,0,9000,7050,0.39131853785900783,0.1279373368146214,periodic,8.566300592482124,5.787534144635737,1.7787664478463467,1.4468835361589343,0.4446916119615867,0,6
