epoch,label,erank::blocks.0.hook_attn_out,erank::blocks.0.hook_mlp_out,erank::blocks.0.hook_resid_post,erank::blocks.2.hook_resid_post,erank::blocks.1.hook_attn_out,erank::blocks.1.hook_mlp_out,erank::blocks.2.hook_attn_out,erank::blocks.2.hook_mlp_out
0,random_init,68.89824663138661,60.60672617933724,65.39639461638208,68.32935608679037,61.899737427852216,63.61875553335551,57.241729699827225,63.82086956118331
75,event_first_train_acc_ge_0.99_ep75,45.0101644937946,24.95060235715739,28.94030698183827,86.46598755461326,27.84575859740909,36.73430752101586,39.45924675690205,89.25096358767713
100,periodic_full,40.717030405653,22.973924067727854,26.320009710653025,86.06049407483619,26.173479517420823,33.49571060248168,37.93093412618319,88.66009275360251
200,periodic_full,28.508820416164088,18.9406951516493,20.429568151457193,83.3716540834643,21.801162644838275,23.691205713872694,33.75990169800515,84.18435931538131
300,periodic_full,21.820163689629634,17.50049399488892,18.07145462838113,83.38270662333949,19.658684525774976,22.148921636640896,32.25533181710272,80.44189280043697
400,periodic_full,18.801068582836027,16.68238258597087,17.002626371326215,81.11596078212538,18.36154061477064,18.689468014045744,30.85559055274438,75.82074998177028
500,periodic_full,17.404603716882693,16.419130224214317,16.637248668832207,81.25741742758522,17.48647186238324,17.945165674615478,30.707462726359218,72.9947580081584
600,periodic_full,16.78611991004326,16.244417161709293,16.444744004975572,81.19455609472351,16.890401636841684,17.554702708559578,30.309750503170093,71.15279703862176
700,periodic_full,16.342146165410895,15.718224316722264,15.951813094616858,76.19005728005368,16.37056687509891,15.382875489606098,29.925535864563496,68.55411700826357
800,periodic_full,16.04950357815652,15.664703669135932,15.919264258771719,79.71197903725036,16.062683625946967,15.968978597814111,30.04327710130056,68.20129874078314
900,periodic_full,15.760726049453412,15.460669844562252,15.715758644140374,80.3307323936646,15.803568776182528,15.649615055329125,30.25224678343196,67.80191263542642
