epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,3.136385271122362,3.1362123489379883,3.136916185247487,0.042602010239550694,0.047123287671232875,0.04136419668538557
2,3.136221877352119,3.137052790871982,3.1361378636853448,0.04255064125614287,0.04438356164383562,0.04437748253663882
3,3.1360384002002566,3.1373603343963623,3.136217544818747,0.04388623482474615,0.03958904109589041,0.04081632653061224
4,3.135908623449667,3.1379280254758637,3.136570831824993,0.04422869471413161,0.03643835616438356,0.041912066840158885
5,3.1356354113749543,3.1376533672727387,3.1366178824983795,0.04496498347631034,0.03821917808219178,0.040953294069305576
6,3.135721045290018,3.13792242674992,3.13676223261603,0.04619783907809798,0.042054794520547945,0.04287083961101219
7,3.1356016069520507,3.1378877656213167,3.1373842831315666,0.04554716528826561,0.040273972602739724,0.040131488837145596
8,3.1354468097853347,3.1386210342933394,3.136715551902508,0.044280063697539424,0.03904109589041096,0.040542391453225586
9,3.1353901473715835,3.138211488723755,3.13659039036981,0.045461550315919246,0.03890410958904109,0.0424599369949322
10,3.1353550811001307,3.137640015832309,3.1371745898805816,0.04667728292323762,0.04246575342465753,0.045473222846185456
11,3.1352256333463577,3.1381525911133865,3.137658143865651,0.048218352425472163,0.04123287671232877,0.04232296945623887
12,3.135275526338269,3.138745875194155,3.1378154096932245,0.045564288282734886,0.04191780821917808,0.040953294069305576
13,3.135102343871604,3.1386100505960397,3.137485956323558,0.04804712248077944,0.03917808219178082,0.04122722914669223
14,3.1351220711870487,3.1379536924691034,3.1377718941918733,0.04816698344206435,0.04082191780821918,0.03985755375975894
15,3.1350517918449303,3.1386263617153825,3.137601507121119,0.04804712248077944,0.038767123287671235,0.0424599369949322
16,3.134913313336768,3.1386333827314705,3.1375685971358727,0.04571839523295834,0.04424657534246575,0.04204903437885221
17,3.13510748184404,3.138537152060147,3.1374915057215196,0.04946833102172908,0.03602739726027397,0.041501164224078894
18,3.134760745227597,3.1393843272636675,3.1377419027788886,0.04792726151949453,0.04424657534246575,0.0424599369949322
19,3.134713252038414,3.1385818760970543,3.13793657565939,0.04998202085580726,0.040958904109589044,0.04081632653061224
20,3.1348523333603637,3.13877272605896,3.137672761390949,0.049502577010667626,0.041643835616438356,0.04204903437885221
