model,actual_query_pair,pred_eq_s01,pred_eq_s02,pred_eq_s12,pred_eq_none
hybrid_p23_m3_aux_retrieval_4layer_seed0,01,1.0,0.0,0.0,0.0
hybrid_p23_m3_aux_retrieval_4layer_seed0,02,0.04008264462809917,0.9599173553719008,0.0,0.0
hybrid_p23_m3_aux_retrieval_4layer_seed0,12,0.0458906967042136,0.046725073007926575,0.9073842302878599,0.0
