seed,d_model,k_read,var_mid_read,var_post_read,delta_var_read,var_mid_orth,var_post_orth,delta_var_orth,erank_mid_read,erank_post_read,delta_erank_read,erank_mid_orth,erank_post_orth,delta_erank_orth,mlp_pc_alignment_mean
0,128,30,39.16641796875,4440.266,4401.09958203125,21.4715078125,36.67002734375,15.19851953125,7.913803572620291,6.347719002908012,-1.5660845697122792,8.51173158453784,8.8596803569666,0.34794877242875977,0.43657824397087097
1,128,30,30.1897421875,3255.83125,3225.6415078125,14.2552626953125,30.728763671875,16.4735009765625,8.953696206918089,7.178397228171158,-1.7752989787469309,9.475567018211985,9.620281989808616,0.14471497159663116,0.4333276152610779
2,128,30,43.21928125,4528.807,4485.58771875,19.68902734375,41.092625,21.40359765625,8.213416033752752,6.409790522093839,-1.8036255116589128,9.09735518459424,9.08411237397085,-0.01324281062339061,0.386656254529953
