task,architecture,mean_test_acc,std_test_acc,mean_sum_delta_attn,std_sum_delta_attn,mean_sum_delta_mlp,std_sum_delta_mlp,mean_layer0_delta_attn,std_layer0_delta_attn,mean_layer0_delta_mlp,std_layer0_delta_mlp,mean_layer1_delta_attn,std_layer1_delta_attn,mean_layer1_delta_mlp,std_layer1_delta_mlp,num_successful_runs,num_total_runs,seeds
key_value,attention_only,1.0,0.0,6.36545536116737,0.9715129838453184,0.0,0.0,5.700042491886765,1.0541172982459763,0.0,0.0,0.6654128692806053,2.015158485977177,0.0,0.0,3,3,"[0, 1, 2]"
key_value,standard,1.0,0.0,6.4610783560612015,0.5905421052220289,-2.585013636237044,0.12469588977046968,0.5490482686708761,0.1031499557927032,-0.6169353556068663,0.053385733557268444,5.912030087390325,0.6039284189894992,-1.9680782806301778,0.1438141169362065,3,3,"[0, 1, 2]"
modular_addition,attention_only,0.006525711302531976,0.001892984322854466,70.18737904962519,8.05040936587582,0.0,0.0,51.28187321560426,28.047328460070837,0.0,0.0,18.905505834020953,20.15727066803856,0.0,0.0,0,3,"[0, 1, 2]"
modular_addition,standard,0.9999627102211285,6.458779160867119e-05,10.666215699779881,2.1240415759249367,3.9680320100784594,3.429139481445663,5.22964038325777,1.7349965703324073,-0.4420762482124892,0.47451188415086465,5.436575316522112,1.328429656904756,4.410108258290949,3.8928171387981143,3,3,"[0, 1, 2]"
