seed,epoch,relative_epoch_to_tau,train_acc,val_acc,test_acc_if_available,layer,hook,erank,delta_attn_if_layer_hook,delta_mlp_if_layer_hook,checkpoint_label,checkpoint_path
0,612,-1827,1.0,0.010291978968564717,0.010291978968564717,0,resid_mid,17.655767793552787,,,epoch_612,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000612.pt
0,612,-1827,1.0,0.010291978968564717,0.010291978968564717,0,resid_post,15.029448085596144,,,epoch_612,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000612.pt
0,612,-1827,1.0,0.010291978968564717,0.010291978968564717,1,resid_pre,15.029448085596144,19.878176956753435,47.40027944107963,epoch_612,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000612.pt
0,612,-1827,1.0,0.010291978968564717,0.010291978968564717,1,resid_mid,34.90762504234958,,,epoch_612,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000612.pt
0,612,-1827,1.0,0.010291978968564717,0.010291978968564717,1,resid_post,82.30790448342921,,,epoch_612,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000612.pt
0,750,-1689,1.0,0.011970019017787225,0.011970019017787225,0,resid_pre,1.0000000000001243,15.790218584155372,-2.1110763108386585,epoch_750,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000750.pt
0,750,-1689,1.0,0.011970019017787225,0.011970019017787225,0,resid_mid,16.790218584155497,,,epoch_750,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000750.pt
0,750,-1689,1.0,0.011970019017787225,0.011970019017787225,0,resid_post,14.679142273316838,,,epoch_750,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000750.pt
0,750,-1689,1.0,0.011970019017787225,0.011970019017787225,1,resid_pre,14.679142273316838,19.86092359935694,45.94936613942809,epoch_750,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000750.pt
0,750,-1689,1.0,0.011970019017787225,0.011970019017787225,1,resid_mid,34.54006587267378,,,epoch_750,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000750.pt
0,750,-1689,1.0,0.011970019017787225,0.011970019017787225,1,resid_post,80.48943201210187,,,epoch_750,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_000750.pt
0,1000,-1439,1.0,0.013871797740239401,0.013871797740239401,0,resid_pre,1.00000000000016,14.600043201022382,-1.6811268156216173,epoch_1000,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_001000.pt
0,1000,-1439,1.0,0.013871797740239401,0.013871797740239401,0,resid_mid,15.600043201022542,,,epoch_1000,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_001000.pt
0,1000,-1439,1.0,0.013871797740239401,0.013871797740239401,0,resid_post,13.918916385400925,,,epoch_1000,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_001000.pt
0,1000,-1439,1.0,0.013871797740239401,0.013871797740239401,1,resid_pre,13.918916385400925,19.351099026532474,42.448631748601144,epoch_1000,/scratch/f006j44/erank/erank-interp/outputs/modadd_periodic_checkpoints/seed_0/checkpoints/model_epoch_001000.pt
