seed,epoch,checkpoint_label,train_acc,val_acc,layer,erank_mid,erank_post,delta_mlp
0,0,epoch_0,0.0,0.0,0,70.23604018684114,66.65570338167498,-3.580336805166155
0,0,epoch_0,0.0,0.0,1,76.30756717554254,71.40965569491854,-4.897911480624003
0,122,epoch_122,0.993733681462141,0.0045866428012081885,0,36.57344091868668,20.699733993006856,-15.873706925679823
0,122,epoch_122,0.993733681462141,0.0045866428012081885,1,42.238913743178536,90.75386432956418,48.514950586385645
0,250,epoch_250,0.9947780678851175,0.0064884215236603645,0,24.79862012621274,17.175941833502105,-7.622678292710635
0,250,epoch_250,0.9947780678851175,0.0064884215236603645,1,37.60077457466651,87.7968108424067,50.19603626774019
0,500,epoch_500,0.9994778067885117,0.007383376216579036,0,18.54343298335524,15.209409636990262,-3.334023346364976
0,500,epoch_500,0.9994778067885117,0.007383376216579036,1,34.91395081147644,82.66378271982286,47.74983190834642
0,612,epoch_612,1.0,0.010291978968564717,0,17.655767793552787,15.029448085596144,-2.626319707956643
0,612,epoch_612,1.0,0.010291978968564717,1,34.90762504234958,82.30790448342921,47.40027944107963
0,750,epoch_750,1.0,0.011970019017787225,0,16.790218584155497,14.679142273316838,-2.1110763108386585
0,750,epoch_750,1.0,0.011970019017787225,1,34.54006587267378,80.48943201210187,45.94936613942809
0,1000,epoch_1000,1.0,0.013871797740239401,0,15.600043201022542,13.918916385400925,-1.6811268156216173
0,1000,epoch_1000,1.0,0.013871797740239401,1,33.2700154119334,75.71864716053454,42.448631748601144
0,1250,epoch_1250,1.0,0.02483499272849312,0,14.970803849910011,13.727003851980847,-1.2437999979291643
0,1250,epoch_1250,1.0,0.02483499272849312,1,32.87187301955566,74.68812524608036,41.8162522265247
0,1500,epoch_1500,1.0,0.03736435842935451,0,14.733352228361426,13.646836651766844,-1.0865155765945822
0,1500,epoch_1500,1.0,0.03736435842935451,1,32.02295775484716,71.10999240765955,39.087034652812385
0,1638,epoch_1638,1.0,0.05112428683297908,0,14.633743476857667,13.590534659130208,-1.043208817727459
0,1638,epoch_1638,1.0,0.05112428683297908,1,31.478644044285513,68.35405768841812,36.87541364413261
0,1750,epoch_1750,1.0,0.08479695715404408,0,14.644137278216107,13.612664026348394,-1.0314732518677125
0,1750,epoch_1750,1.0,0.08479695715404408,1,31.34847539491668,67.82975488627325,36.481279491356574
0,1773,epoch_1773,0.8036553524804178,0.10124174963642465,0,14.696623577225106,13.790836695136496,-0.9057868820886092
0,1773,epoch_1773,0.8036553524804178,0.10124174963642465,1,31.633870605904495,70.18287636542274,38.54900575951825
0,2000,epoch_2000,1.0,0.23268822015885446,0,14.481142285489362,13.381045204114878,-1.100097081374484
0,2000,epoch_2000,1.0,0.23268822015885446,1,29.360461546573717,59.37740715557434,30.016945609000622
0,2027,epoch_2027,0.9934725848563969,0.2545027407987471,0,14.557749654414101,13.747018343054188,-0.8107313113599126
0,2027,epoch_2027,0.9934725848563969,0.2545027407987471,1,30.68549225843455,64.63884932646137,33.95335706802682
0,2250,epoch_2250,1.0,0.4046313905358541,0,14.259753649719643,12.988836424025514,-1.270917225694129
0,2250,epoch_2250,1.0,0.4046313905358541,1,26.559182722141927,51.34720752772137,24.788024805579447
0,2326,epoch_2326,1.0,0.5002796733415371,0,14.083837677306919,12.48774010819852,-1.596097569108398
0,2326,epoch_2326,1.0,0.5002796733415371,1,24.441497056371723,45.06289657429819,20.62139951792647
0,2377,epoch_2377,1.0,0.7519856807249133,0,14.07220082648084,12.807973435171391,-1.2642273913094488
0,2377,epoch_2377,1.0,0.7519856807249133,1,25.060388261190614,46.951129622050885,21.89074136086027
0,2439,epoch_2439,1.0,0.9515605772457769,0,13.178422807515616,10.9552245584658,-2.223198249049817
0,2439,epoch_2439,1.0,0.9515605772457769,1,19.24990145290331,34.65653992308586,15.40663847018255
0,2500,epoch_2500,1.0,0.9881418503188276,0,11.73690366299829,9.108208715272621,-2.62869494772567
0,2500,epoch_2500,1.0,0.9881418503188276,1,15.460986853352738,27.887083476837415,12.426096623484677
0,2750,epoch_2750,1.0,1.0,0,8.643282145976606,7.17506492714514,-1.468217218831466
0,2750,epoch_2750,1.0,1.0,1,13.14345191351747,22.719591098889417,9.576139185371947
0,2974,epoch_2974,1.0,1.0,0,8.141035561850504,6.815443377240411,-1.3255921846100938
0,2974,epoch_2974,1.0,1.0,1,12.814210524639929,20.710559719044085,7.896349194404156
