checkpoint_type,epoch,train_acc,val_acc,test_acc,layer_0_pre,layer_0_mid,layer_0_post,layer_0_delta_attn,layer_0_delta_mlp,layer_1_pre,layer_1_mid,layer_1_post,layer_1_delta_attn,layer_1_delta_mlp
peak,31609,0.9288511749347258,0.015665796344647518,0.004922250811052691,1.000000000000061,19.86249792568703,19.86249792568703,18.86249792568697,0.0,19.86249792568703,64.07175723728984,64.07175723728984,44.209259311602814,0.0
final,50000,1.0,0.009138381201044387,0.005817205503971362,1.0000000000000542,19.162344698953998,19.162344698953998,18.162344698953945,0.0,19.162344698953998,63.12207518543008,63.12207518543008,43.959730486476076,0.0
