epoch,layer_0_pre,layer_0_mid,layer_0_post,layer_0_delta_attn,layer_0_delta_mlp,layer_1_pre,layer_1_mid,layer_1_post,layer_1_delta_attn,layer_1_delta_mlp,layer_2_pre,layer_2_mid,layer_2_post,layer_2_delta_attn,layer_2_delta_mlp,layer_3_pre,layer_3_mid,layer_3_post,layer_3_delta_attn,layer_3_delta_mlp
1000,1.0000000000000373,1.0000000000000373,1.000000000000041,0.0,3.774758283725532e-15,1.000000000000041,1.000000000000041,1.000000000000043,0.0,1.9984014443252818e-15,1.000000000000043,1.000000000000043,1.0000000000000386,0.0,-4.440892098500626e-15,1.0000000000000386,48.305865207083194,48.305865207083194,47.30586520708316,0.0
2000,1.0000000000000353,1.0000000000000353,1.0000000000000442,0.0,8.881784197001252e-15,1.0000000000000442,1.0000000000000442,1.0000000000000366,0.0,-7.549516567451064e-15,1.0000000000000366,1.0000000000000366,1.0000000000000384,0.0,1.7763568394002505e-15,1.0000000000000384,50.913292787305075,50.913292787305075,49.91329278730504,0.0
3000,1.000000000000037,1.000000000000037,1.0000000000000393,0.0,2.220446049250313e-15,1.0000000000000393,1.0000000000000393,1.0000000000000386,0.0,-6.661338147750939e-16,1.0000000000000386,1.0000000000000386,1.000000000000036,0.0,-2.6645352591003757e-15,1.000000000000036,53.19389905356537,53.19389905356537,52.19389905356533,0.0
4000,1.0000000000000422,1.0000000000000422,1.0000000000000384,0.0,-3.774758283725532e-15,1.0000000000000384,1.0000000000000384,1.0000000000000417,0.0,3.3306690738754696e-15,1.0000000000000417,1.0000000000000417,1.000000000000034,0.0,-7.771561172376096e-15,1.000000000000034,55.04817724264054,55.04817724264054,54.048177242640506,0.0
5000,1.0000000000000258,1.0000000000000258,1.0000000000000413,0.0,1.554312234475219e-14,1.0000000000000413,1.0000000000000413,1.0000000000000475,0.0,6.217248937900877e-15,1.0000000000000475,1.0000000000000475,1.0000000000000346,0.0,-1.2878587085651816e-14,1.0000000000000346,56.064328138845944,56.064328138845944,55.06432813884591,0.0
6000,1.0000000000000366,1.0000000000000366,1.0000000000000395,0.0,2.886579864025407e-15,1.0000000000000395,1.0000000000000395,1.000000000000038,0.0,-1.5543122344752192e-15,1.000000000000038,1.000000000000038,1.0000000000000342,0.0,-3.774758283725532e-15,1.0000000000000342,56.82447098162991,56.82447098162991,55.82447098162987,0.0
7000,1.000000000000039,1.000000000000039,1.000000000000044,0.0,4.884981308350689e-15,1.000000000000044,1.000000000000044,1.0000000000000429,0.0,-1.1102230246251565e-15,1.0000000000000429,1.0000000000000429,1.000000000000033,0.0,-9.769962616701378e-15,1.000000000000033,57.37855895986705,57.37855895986705,56.378558959867014,0.0
8000,1.0000000000000335,1.0000000000000335,1.0000000000000369,0.0,3.3306690738754696e-15,1.0000000000000369,1.0000000000000369,1.0000000000000329,0.0,-3.9968028886505635e-15,1.0000000000000329,1.0000000000000329,1.0000000000000349,0.0,1.9984014443252818e-15,1.0000000000000349,57.72166566980709,57.72166566980709,56.72166566980705,0.0
9000,1.0000000000000382,1.0000000000000382,1.0000000000000449,0.0,6.661338147750939e-15,1.0000000000000449,1.0000000000000449,1.0000000000000437,0.0,-1.1102230246251565e-15,1.0000000000000437,1.0000000000000437,1.0000000000000377,0.0,-5.995204332975845e-15,1.0000000000000377,58.24585592111815,58.24585592111815,57.245855921118114,0.0
10000,1.000000000000036,1.000000000000036,1.0000000000000446,0.0,8.659739592076221e-15,1.0000000000000446,1.0000000000000446,1.0000000000000426,0.0,-1.9984014443252818e-15,1.0000000000000426,1.0000000000000426,1.0000000000000409,0.0,-1.7763568394002505e-15,1.0000000000000409,58.698345290067266,58.698345290067266,57.69834529006722,0.0
