layer,block_kind,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
0,M,1.0000000000000353,1.0000000000000353,1.0000000000000373,NA,1.9984014443252818e-15
1,M,1.0000000000000373,1.0000000000000373,1.0000000000000362,NA,-1.1102230246251565e-15
2,M,1.0000000000000362,1.0000000000000362,1.0000000000000393,NA,3.1086244689504383e-15
3,A,1.0000000000000393,39.22910909662848,39.22910909662848,38.229109096628434,NA

sum_delta_attn,38.229109096628434
sum_delta_mlp,3.9968028886505635e-15
