layer,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
0,,,,16.4870680538142,-1.561418570676791
1,,,,2.9963368669976926,-1.202891751816999
2,,,,31.695468962353676,30.555461550962548

sum_delta_attn,51.178873883165565
sum_delta_mlp,27.791151228468756
