layer,block_kind,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
0,A,1.0000000000000464,10.5769555059357,10.5769555059357,9.576955505935654,NA
1,A,10.5769555059357,13.362719978021556,13.362719978021556,2.785764472085855,NA
2,A,13.362719978021556,37.04201902032581,37.04201902032581,23.679299042304255,NA
3,A,37.04201902032581,71.02161560285008,71.02161560285008,33.979596582524266,NA

sum_delta_attn,70.02161560285003
sum_delta_mlp,0.0
