layer,block_kind,erank_pre,erank_mid,erank_post,delta_attn,delta_mlp
0,A,1.0000000000000324,5.9215151171311815,5.9215151171311815,4.921515117131149,NA
1,M,5.9215151171311815,5.9215151171311815,6.084509277022886,NA,0.16299415989170463
2,M,6.084509277022886,6.084509277022886,6.100430756689023,NA,0.015921479666136662
3,M,6.100430756689023,6.100430756689023,11.147633422303402,NA,5.047202665614379

sum_delta_attn,4.921515117131149
sum_delta_mlp,5.22611830517222
