epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,3.139694566809975,3.1371968861283928,3.1371624058690566,0.04361226691323779,0.039863013698630136,0.040131488837145596
2,3.13669776812391,3.1362839731676826,3.1370240079945533,0.04342391397407579,0.04657534246575343,0.040268456375838924
3,3.1361518020713173,3.137044166696483,3.136685955113378,0.0452389513878187,0.044931506849315066,0.039309683604985615
4,3.1357393431351173,3.1368723244502625,3.136636002310391,0.04416020273625452,0.04082191780821918,0.041501164224078894
5,3.1358382858043155,3.136807655466014,3.1362454233498407,0.044023218780500334,0.04301369863013699,0.04533625530749212
6,3.1357043965935185,3.1366359118757576,3.136331500678227,0.044211571719662335,0.038767123287671235,0.04232296945623887
7,3.13565327611032,3.1363181081311455,3.1361063677689125,0.04400609578603106,0.04232876712328767,0.043281742227092176
8,3.135533227670661,3.136374933966275,3.1366283153665475,0.044023218780500334,0.04219178082191781,0.04218600191754554
9,3.1356190000559043,3.1363225887561668,3.1361165868824927,0.045752641221896886,0.03726027397260274,0.041912066840158885
10,3.1355497358147235,3.1363739309639764,3.1361906939539415,0.04299583911234397,0.03753424657534247,0.03917271606629229
11,3.1355254139962674,3.136404876051278,3.1360663463329446,0.04481087652608688,0.03931506849315068,0.044240514997945485
12,3.1354706672601824,3.1366732696007036,3.1364645546880263,0.043132823068098146,0.04191780821917808,0.04259690453362553
13,3.13550726399151,3.1366059369054335,3.1360480867583176,0.044382801664355064,0.035890410958904106,0.044240514997945485
14,3.135487091072782,3.1362328611571213,3.1359185268139016,0.04479375353161761,0.0410958904109589,0.04163813176277222
15,3.1354119548631028,3.136135150646341,3.136460386473557,0.0432869300183216,0.04082191780821918,0.04259690453362553
16,3.1354457696972977,3.136154133698036,3.1358369218892066,0.0446738925703327,0.03794520547945206,0.04314477468839885
17,3.1354038371789925,3.1364457607269287,3.136032014057554,0.04342391397407579,0.03917808219178082,0.04410354745925216
18,3.1354015404480515,3.136095326522301,3.136103186114081,0.04380061985239979,0.03890410958904109,0.04437748253663882
19,3.135352843713552,3.1361073050005683,3.1360523289647597,0.044656769575863425,0.038767123287671235,0.03848787837282564
20,3.135354713581535,3.13620166120858,3.1360007483383705,0.04570127223848907,0.039863013698630136,0.04287083961101219
21,3.1353380305277727,3.136698500863437,3.1362854365644783,0.045119090426533795,0.03890410958904109,0.041501164224078894
22,3.135359107146617,3.136409414225611,3.136318905600186,0.04491361449290252,0.03972602739726028,0.04492535269141214
23,3.135388233776176,3.1366067261531434,3.136045554588581,0.045119090426533795,0.04136986301369863,0.04163813176277222
24,3.13534159327178,3.1365904479191222,3.13614899536659,0.04602660913340525,0.04,0.04574715792357211
25,3.1353049319904445,3.1360997907046615,3.136330884078453,0.045461550315919246,0.04,0.03780304067935899
26,3.135222988878275,3.137259138041529,3.13641541579674,0.04631770003938289,0.03753424657534247,0.045473222846185456
27,3.135342737472734,3.136325844402971,3.136642176529457,0.045461550315919246,0.03863013698630137,0.040679358991918914
28,3.1352240497888957,3.136151856389539,3.1359932587064545,0.04607797811681307,0.04,0.04204903437885221
29,3.135243038943761,3.1366413543964256,3.1362827975174477,0.04595811715552816,0.0373972602739726,0.04273387207231886
30,3.1352252023188827,3.1365184783935547,3.1363741611612252,0.045992363144466704,0.04150684931506849,0.040953294069305576
31,3.091951834582866,3.052646546528257,3.0560593358401595,0.05588945394770638,0.06068493150684932,0.06355293795370497
32,3.0358638471911568,3.0285649710688096,3.033966039789134,0.06152291912809712,0.06767123287671233,0.06341597041501164
33,3.025070700582979,3.0205146773108122,3.022116652850447,0.06316672659714731,0.06671232876712328,0.06670319134365156
34,3.015660973094957,3.0135046613627465,3.01549349982163,0.06737898323658842,0.06547945205479452,0.06916860704013149
35,2.998364722364334,2.9850319089560675,2.987134366199888,0.07145425592027534,0.06904109589041096,0.07505821120394467
36,2.96885063866861,2.9615703369009085,2.9694046891968826,0.07498159278094553,0.07589041095890411,0.08053691275167785
