run_id,depth,schedule,seed,checkpoint_label,epoch,train_acc,val_acc,test_acc_at_best_val_if_applicable,block_index,block_type,erank_before,erank_after,delta_erank,relative_delta_erank,is_attention,is_mlp
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,0,A,1.0000000000000404,68.38281142605405,67.382811426054,67.38281142605128,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,1,A,68.38281142605405,76.30167282528376,7.918861399229712,0.11580192791272988,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,2,M,76.30167282528376,75.83098229687421,-0.4706905284095484,-0.006168810079529183,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,3,M,75.83098229687421,75.4135944462245,-0.4173878506497175,-0.005504186257480703,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,4,M,75.4135944462245,74.97422545870556,-0.4393689875189324,-0.005826124463968299,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,5,M,74.97422545870556,74.41418679912347,-0.5600386595820908,-0.007469749185879218,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,6,A,74.41418679912347,77.483258484055,3.0690716849315294,0.04124309915817934,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,random_init,0,,,,7,A,77.483258484055,78.75423500792553,1.2709765238705302,0.01640324050300595,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,0,A,1.0000000000000377,6.666462518183068,5.66646251818303,5.666462518182816,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,1,A,6.666462518183068,6.928163681990467,0.26170116380739916,0.039256376690575814,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,2,M,6.928163681990467,6.778955327136892,-0.14920835485357564,-0.02153649389685146,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,3,M,6.778955327136892,6.481804892433091,-0.2971504347038003,-0.04383425179308602,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,4,M,6.481804892433091,5.9891380868703745,-0.4926668055627168,-0.07600765739460313,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,5,M,5.9891380868703745,13.004487681563164,7.01534959469279,1.1713454411866235,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,6,A,13.004487681563164,15.759174216443776,2.754686534880612,0.21182584061239187,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,best_val,2450,1.0,1.0,0.9988813066338517,7,A,15.759174216443776,20.14919888029142,4.390024663847642,0.2785694607822095,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,final,50000,0.2535900783289817,0.15274151436031333,,0,A,1.0000000000000437,2.0298985539596224,1.0298985539595786,1.0298985539595336,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,final,50000,0.2535900783289817,0.15274151436031333,,1,A,2.0298985539596224,2.215416397796183,0.18551784383656056,0.09139266761616245,1,0
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,final,50000,0.2535900783289817,0.15274151436031333,,2,M,2.215416397796183,2.4122083022052245,0.1967919044090416,0.08882840472102813,0,1
depth4_bal_AAMMMMAA,4,AAMMMMAA,0,final,50000,0.2535900783289817,0.15274151436031333,,3,M,2.4122083022052245,3.001973383581726,0.5897650813765014,0.24449177164233377,0,1
