epoch,train_acc,val_acc,test_acc,layer,hook,erank,delta_attn,delta_mlp
1,0.05392857142857143,0.056428571428571425,0.07266666666666667,0,pre,3.966818930736249,8.107309597138798,0.0
1,0.05392857142857143,0.056428571428571425,0.07266666666666667,0,mid,12.074128527875047,,
1,0.05392857142857143,0.056428571428571425,0.07266666666666667,0,post,12.074128527875047,,
1,0.05392857142857143,0.056428571428571425,0.07266666666666667,1,pre,12.074128527875047,8.370198570874965,0.0
1,0.05392857142857143,0.056428571428571425,0.07266666666666667,1,mid,20.444327098750012,,
1,0.05392857142857143,0.056428571428571425,0.07266666666666667,1,post,20.444327098750012,,
5,0.22303571428571428,0.18857142857142858,0.213,0,pre,3.966723409789704,16.83365620356152,0.0
5,0.22303571428571428,0.18857142857142858,0.213,0,mid,20.800379613351225,,
5,0.22303571428571428,0.18857142857142858,0.213,0,post,20.800379613351225,,
5,0.22303571428571428,0.18857142857142858,0.213,1,pre,20.800379613351225,6.1371110182350606,0.0
5,0.22303571428571428,0.18857142857142858,0.213,1,mid,26.937490631586286,,
5,0.22303571428571428,0.18857142857142858,0.213,1,post,26.937490631586286,,
10,0.6932142857142857,0.7664285714285715,0.7543333333333333,0,pre,3.90442348746042,23.689615575216983,0.0
10,0.6932142857142857,0.7664285714285715,0.7543333333333333,0,mid,27.594039062677403,,
10,0.6932142857142857,0.7664285714285715,0.7543333333333333,0,post,27.594039062677403,,
10,0.6932142857142857,0.7664285714285715,0.7543333333333333,1,pre,27.594039062677403,-1.164803473149263,0.0
10,0.6932142857142857,0.7664285714285715,0.7543333333333333,1,mid,26.42923558952814,,
10,0.6932142857142857,0.7664285714285715,0.7543333333333333,1,post,26.42923558952814,,
25,1.0,1.0,1.0,0,pre,3.9108062063487057,20.289513469451766,0.0
25,1.0,1.0,1.0,0,mid,24.200319675800472,,
25,1.0,1.0,1.0,0,post,24.200319675800472,,
25,1.0,1.0,1.0,1,pre,24.200319675800472,-2.174664712863251,0.0
25,1.0,1.0,1.0,1,mid,22.02565496293722,,
25,1.0,1.0,1.0,1,post,22.02565496293722,,
50,1.0,1.0,1.0,0,pre,3.9034029031646034,17.293416189562134,0.0
50,1.0,1.0,1.0,0,mid,21.196819092726738,,
50,1.0,1.0,1.0,0,post,21.196819092726738,,
50,1.0,1.0,1.0,1,pre,21.196819092726738,-2.595090901706392,0.0
50,1.0,1.0,1.0,1,mid,18.601728191020346,,
50,1.0,1.0,1.0,1,post,18.601728191020346,,
100,1.0,1.0,1.0,0,pre,3.8627178807206297,12.996736569143234,0.0
100,1.0,1.0,1.0,0,mid,16.859454449863865,,
100,1.0,1.0,1.0,0,post,16.859454449863865,,
100,1.0,1.0,1.0,1,pre,16.859454449863865,-2.4950265228383106,0.0
100,1.0,1.0,1.0,1,mid,14.364427927025554,,
100,1.0,1.0,1.0,1,post,14.364427927025554,,
200,1.0,1.0,1.0,0,pre,3.7205318008872883,8.628415066256307,0.0
200,1.0,1.0,1.0,0,mid,12.348946867143596,,
200,1.0,1.0,1.0,0,post,12.348946867143596,,
200,1.0,1.0,1.0,1,pre,12.348946867143596,-1.3331204916309467,0.0
200,1.0,1.0,1.0,1,mid,11.015826375512649,,
200,1.0,1.0,1.0,1,post,11.015826375512649,,
500,1.0,1.0,1.0,0,pre,3.637929633049291,6.632684426507508,0.0
500,1.0,1.0,1.0,0,mid,10.270614059556799,,
500,1.0,1.0,1.0,0,post,10.270614059556799,,
500,1.0,1.0,1.0,1,pre,10.270614059556799,-0.6562295393538093,0.0
500,1.0,1.0,1.0,1,mid,9.61438452020299,,
500,1.0,1.0,1.0,1,post,9.61438452020299,,
